code,period_end,avail_from,roe,net_profit_yoy,revenue_yoy,eps,eps_annualized,bvps,industry
874103,20240331,2024-04-01,,,,,,,
600448,20240331,2024-04-01,0.07,-14.7,3.9307403551,0.0015,0.006,1.991668395849,纺织制造
603843,20240331,2024-04-01,-1.92,48.01,-16.0657660586,-0.02,-0.08,1.22128776619,基础建设
603389,20240331,2024-04-01,-7.8,-5.4144449207,-30.7263544922,-0.11,-0.44,1.326010795693,家居用品
874226,20240331,2024-04-01,4.93,,,0.47,1.88,9.75617352975,
002816,20240331,2024-04-01,-3.54,26.82,-91.4523066752,-0.0959,-0.3836,2.6591861799,专用设备
300513,20240331,2024-04-01,-0.4,-145.73,-37.5336558863,-0.0304,-0.1216,7.647208391164,通信服务
601118,20240331,2024-04-01,-1.6636,-196.5390651488,28.6345657255,-0.0377,-0.1508,2.232121691233,种植业
002496,20240331,2024-04-01,3.2,351.65,-8.6153361057,0.0321,0.1284,1.017870411692,农化制品
688159,20240331,2024-04-01,7.58,400.36,358.73533905,0.64,2.56,8.762266565447,通信设备
688439,20240331,2024-04-01,2.91,8.57,7.6317246672,0.699,2.796,24.3437428658,军工电子Ⅱ
603927,20240331,2024-04-01,0.79,12.35,0.9137328869,0.03,0.12,5.542588091712,软件开发
603690,20240331,2024-04-01,1.29,1.45,3.4812110534,0.076,0.304,12.806415099748,半导体
603189,20240331,2024-04-01,0.22,124.32,6.6159474751,0.01,0.04,5.681622356107,软件开发
600398,20240331,2024-04-01,5.16,10.41,8.7179767723,0.2,0.8,4.057102854905,服装家纺
300534,20240331,2024-04-01,3.44,10.68,-13.958232616,0.0731,0.2924,2.162049880829,中药Ⅱ
002883,20240331,2024-04-01,1.46,-9.86,-5.9574084464,0.06,0.24,4.404117386326,工程咨询服务Ⅱ
002726,20240331,2024-04-01,2.29,43.24,-27.4287322509,-0.03,-0.12,1.141432595739,食品加工
002368,20240331,2024-04-01,0.32,-40.48,-9.9450124265,0.0262,0.1048,8.309028564558,IT服务Ⅱ
002109,20240331,2024-04-01,-2.73,-33.95,35.2785237939,-0.1166,-0.4664,3.712617361898,化学原料
000858,20240331,2024-04-01,10.28,11.98,11.8631317207,3.618,14.472,36.995848472115,白酒Ⅱ
874411,20240331,2024-04-01,10.05,,,1.68,6.72,,
688119,20240331,2024-04-01,0.29,-69.33,-22.8704177119,0.008,0.032,2.743188780836,装修建材
603329,20240331,2024-04-01,0.39,154.1514816909,-17.0413406372,0.0267,0.1068,6.936887291548,物流
601010,20240331,2024-04-01,1.18,-38.53,-11.7425707592,0.06,0.24,2.435588799205,一般零售
600525,20240331,2024-04-01,0.32,-2.46,-7.9744056623,0.0127,0.0508,3.819404771706,电网设备
600370,20240331,2024-04-01,-0.5,-130.8,9.358647781,-0.0067,-0.0268,1.503225257824,化学纤维
300781,20240331,2024-04-01,1.69,0.69,88.0837969044,0.1066,0.4264,6.366034692873,广告营销
300555,20240331,2024-04-01,-0.65,-646.84,-27.8134300277,-0.0186,-0.0744,2.8294340129,通信设备
002875,20240331,2024-04-01,1.46,273.9,-9.9595766648,0.06,0.24,3.908842754076,服装家纺
002785,20240331,2024-04-01,0.45,220.54,8.5015069134,0.0183,0.0732,4.261487837128,装修建材
002657,20240331,2024-04-01,-1.46,-96.15,-70.5051892268,-0.0808,-0.3232,5.483324924516,IT服务Ⅱ
002535,20240331,2024-04-01,4.89,-4.94,0.9164493122,0.0339,0.1356,0.709916566331,专用设备
002102,20240331,2024-04-01,1.35,-34.72,-14.2693529851,0.021,0.084,1.574108076262,化学制药
002042,20240331,2024-04-01,0.22,-74.04,-13.4298982637,0.01,0.04,3.553480320263,纺织制造
000911,20240331,2024-04-01,4.33,-48.62,-18.7276436364,0.0121,0.0484,0.254407069824,农产品加工
000820,20240331,2024-04-01,-3.85,57.7,81.7751988622,-0.0049,-0.0196,0.127368977087,环保设备Ⅱ
920152,20240331,2024-04-01,,-100.07,-20.1557791381,0.0,0.0,4.076701260594,电池
603360,20240331,2024-04-01,5.83,35.31,31.1790148116,,,4.82644841373,农化制品
600476,20240331,2024-04-01,1.546,61.7475527721,-17.4633511308,-0.006,-0.024,0.827852806668,IT服务Ⅱ
300271,20240331,2024-04-01,-2.04,-8.63,18.9499481329,-0.11,-0.44,5.17963672809,IT服务Ⅱ
300245,20240331,2024-04-01,0.24,181.78,-28.046072759,0.01,0.04,4.321761123892,IT服务Ⅱ
300226,20240331,2024-04-01,2.44,-10.04,-6.1916059005,0.1527,0.6108,6.338767142561,软件开发
300122,20240331,2024-04-01,4.52,-28.26,2.1757225924,0.609,2.436,13.632698548271,生物制品
001287,20240331,2024-04-01,1.01,-27.99,42.1502919069,0.0674,0.2696,6.718755064378,其他电子Ⅱ
000981,20240331,2024-04-01,-1.44,332.46,-1.8204360124,-0.0042,-0.0168,0.339414990172,汽车零部件
300749,20240331,2024-04-01,-1.28,-296.28,-1.6344554151,-0.05,-0.2,3.495118092504,家居用品
300469,20240331,2024-04-01,-4.19,-29.96,-34.0081204362,-0.0954,-0.3816,2.229868031561,软件开发
603789,20240331,2024-04-01,-0.06,-1999.7479032344,-34.1426870759,-0.089,-0.356,1.425959260216,专用设备
600739,20240331,2024-04-01,0.3,-71.03,13.1788975226,0.0578,0.2312,18.974761130525,生物制品
600653,20240331,2024-04-01,-3.534,-11.73,-17.9317579284,-0.014,-0.056,0.388817178863,汽车服务
600546,20240331,2024-04-01,3.65,-65.81,-40.3102286617,0.29,1.16,8.230503467835,煤炭开采
200530,20240331,2024-04-01,0.96,15.23,5.5979503123,0.03,0.12,3.647755208154,通用设备
001317,20240331,2024-04-01,0.74,-19.7,21.3190824354,0.08,0.32,10.179609625562,铁路公路
000530,20240331,2024-04-01,0.96,15.23,5.5979503123,0.03,0.12,3.647755208154,通用设备
603569,20240331,2024-04-01,0.51,15.77,0.3432089451,0.02,0.08,4.726395317149,物流
603169,20240331,2024-04-01,1.05,9.16,-0.9273768427,0.0254,0.1016,2.429248037053,专用设备
688719,20240331,2024-04-01,0.29,-62.79,45.469429769,0.04,0.16,22.186113941077,其他电源设备Ⅱ
600810,20240331,2024-04-01,0.47,320.0517259792,15.4520534788,0.03,0.12,7.320683802354,化学纤维
300377,20240331,2024-04-01,-2.99,1.86,-10.8627014864,,,3.88740961345,软件开发
688646,20240331,2024-04-01,0.48,82.55,4.6863127066,0.17,0.68,17.313997180699,自动化设备
688201,20240331,2024-04-01,-2.18,8.61,36.6676899049,-0.1384,-0.5536,6.200579068457,软件开发
300746,20240331,2024-04-01,0.21,-72.25,-24.4866490596,0.01,0.04,5.449200068054,工程咨询服务Ⅱ
600757,20240331,2024-04-01,2.85,-32.09,-4.994610479,0.22,0.88,7.686307879618,出版
900928,20240331,2024-04-01,1.07,-20.57,90.34607563,0.05,0.2,7.440897442963,房地产开发
600848,20240331,2024-04-01,1.07,-20.57,90.34607563,0.05,0.2,7.440897442963,房地产开发
601069,20240331,2024-04-01,0.73,155.984545376,49.8136226327,0.035,0.14,4.78549905414,贵金属
002306,20240331,2024-04-01,-105.35,51.02,-27.2821298192,-0.0174,-0.0696,0.019623433501,酒店餐饮
603226,20240331,2024-04-01,-1.23,8.9824252197,-33.4011086348,-0.03,-0.12,2.734577601614,家居用品
600368,20240331,2024-04-01,3.33,7.69,9.740457492,0.1325,0.53,5.263931083245,铁路公路
600455,20240331,2024-04-01,-0.6099,-448.14,12.0221735376,0.2368,0.9472,4.28018010423,软件开发
600252,20240331,2024-04-01,0.83,419.6336391819,13.5421911372,0.016,0.064,1.909796927257,中药Ⅱ
688132,20240331,2024-04-01,2.29,199.9,84.6756588306,0.23,0.92,10.182637120197,军工电子Ⅱ
600529,20240331,2024-04-01,2.89,32.59,-0.7526536159,0.33,1.32,11.68520770647,医疗器械
688511,20240331,2024-04-01,1.12,-45.36,-10.306688376,0.1218,0.4872,10.8169484665,军工电子Ⅱ
688316,20240331,2024-04-01,-4.32,83.5717234926,8.9884289194,-0.16,-0.64,3.601005162455,IT服务Ⅱ
301152,20240331,2024-04-01,-2.42,-9355.11,-24.5031119818,-0.38,-1.52,15.288836053576,电池
001266,20240331,2024-04-01,-0.34,-158.17,-20.0878376928,-0.03,-0.12,9.640362799277,自动化设备
301487,20240331,2024-04-01,0.15,-78.88,-42.7672703307,0.0065,0.026,4.28919780541,电池
300189,20240331,2024-04-01,-1.07,-151.82,27.6192118634,-0.0081,-0.0324,0.744887770801,种植业
301379,20240331,2024-04-01,1.93,-4.14,1.4895939888,0.1781,0.7124,13.048625907046,光学光电子
300831,20240331,2024-04-01,0.84,423.95,109.3102083877,0.0229,0.0916,2.72347215675,半导体
688270,20240331,2024-04-01,-0.27,-178.41,29.299151056,,,13.889297446532,半导体
874158,20240331,2024-04-01,2.81,,,0.08,0.32,3.050371419685,
874181,20240331,2024-04-01,10.18,,,0.26,1.04,2.531420118167,
874236,20240331,2024-04-01,1.4,,,0.08,0.32,4.2371169052,
874684,20240331,2024-04-01,4.75,,,0.26,1.04,,
832010,20240331,2024-04-01,2.8,,,0.15,0.6,,
874161,20240331,2024-04-01,1.34,,,0.1252,0.5008,,
874543,20240331,2024-04-01,,,,0.4,1.6,,
