序号,日期,动作,槽位,代码,行业,成交价,股数,成交额,滑动成本,实现收益%,实现盈亏元,槽位现金,账户净值,大盘MA60,备注
1,2025-07-04,买入,1,002558,电子竞技,25.193,1300,32750.83,262.01,,,582.51,99740.07,站上,持有至2025-07-08/gap
2,2025-07-08,卖出,1,002558,电子竞技,25.497,1300,33146.59,265.17,1.21,395.76,33729.09,133809.66,站上,到期
3,2025-08-12,买入,1,002837,液冷服务器,55.188,600,33112.8,264.9,,,616.29,100132.96,站上,持有至2025-08-14/gap
4,2025-08-14,卖出,1,002837,液冷服务器,57.764,600,34658.5,277.27,4.67,1545.7,35274.79,136879.46,站上,到期
5,2025-08-15,买入,1,002871,液冷服务器,14.102,2500,35254.8,282.04,,,19.99,101661.66,站上,持有至2025-08-19/gap
6,2025-08-15,买入,2,002837,液冷服务器,64.331,500,32165.28,257.32,,,1168.05,101406.38,站上,持有至2025-08-19/gap
7,2025-08-19,卖出,1,002871,液冷服务器,16.795,2500,41986.4,335.89,19.09,6731.6,42006.39,153932.78,站上,到期
8,2025-08-19,卖出,2,002837,液冷服务器,66.92,500,33460.16,267.68,4.03,1294.88,34628.21,143697.94,站上,到期
9,2025-08-25,买入,1,600111,稀土永磁,53.112,700,37178.06,297.42,,,4828.33,109672.87,站上,持有至2025-08-27/gap
10,2025-08-27,卖出,1,600111,稀土永磁,53.032,700,37122.62,296.98,-0.15,-55.44,41950.95,147334.5,站上,到期
11,2025-08-28,买入,1,002938,同花顺果指数,57.385,700,40169.81,321.36,,,1781.14,109593.69,站上,持有至2025-09-01/gap
12,2025-09-01,卖出,1,002938,同花顺果指数,58.022,700,40615.46,324.92,1.11,445.65,42396.6,151301.15,站上,到期
13,2025-09-02,买入,1,000564,物业管理,2.701,15600,42142.46,337.14,,,254.13,110023.68,站上,持有至2025-09-04/gap
14,2025-09-04,卖出,1,000564,物业管理,2.748,15600,42866.3,342.93,1.72,723.84,43120.44,154293.99,站上,到期
15,2025-09-05,买入,1,002466,盐湖提锂,46.721,900,42048.72,336.39,,,1071.72,110748.27,站上,持有至2025-09-09/gap
16,2025-09-05,买入,2,002048,减速器,30.28,1100,33308.35,266.47,,,1319.86,110483.91,站上,持有至2025-09-09/gap
17,2025-09-09,卖出,1,002466,盐湖提锂,45.87,900,41283.07,330.26,-1.82,-765.65,42354.79,154648.99,站上,到期
18,2025-09-09,卖出,2,002048,减速器,32.647,1100,35911.39,287.29,7.81,2603.04,37231.25,149120.38,站上,到期
19,2025-09-10,买入,1,600601,PCB概念,9.415,4400,41424.77,331.4,,,930.02,112590.61,站上,持有至2025-09-12/gap
20,2025-09-12,卖出,1,600601,PCB概念,11.21,4400,49322.24,394.58,19.06,7897.47,50252.26,170536.85,站上,到期
21,2025-09-18,买入,1,605305,风电,41.751,1200,50101.63,400.81,,,150.63,120419.22,站上,持有至2025-09-22/gap
