序号,代码,行业,买入日期时间,买入价,股数,买入额,卖出日期时间,卖出价,卖出额,收益%,盈亏元,持有交易日,持有自然日,退出原因,大盘MA60(买时)
1,000739,流感,2026-01-13 14:45:00,17.932,1800,32278.18,2026-01-15 15:00:00,17.985,32372.93,0.29,94.75,2,2,到期,站上
2,000603,金属铅,2026-01-21 14:45:00,46.368,700,32457.6,2026-01-23 15:00:00,51.088,35761.6,10.18,3304.0,2,2,到期,站上
3,002738,小金属概念,2026-01-21 14:45:00,92.736,300,27820.8,2026-01-23 15:00:00,95.728,28718.4,3.23,897.6,2,2,到期,站上
4,000510,金属铜,2026-01-26 14:45:00,20.452,1700,34768.94,2026-01-28 15:00:00,18.332,31164.67,-10.37,-3604.27,2,2,到期,站上
5,000688,金属铅,2026-01-26 14:45:00,32.589,1000,32588.64,2026-01-28 15:00:00,30.633,30632.96,-6.0,-1955.68,2,2,到期,站上
6,000960,金属锌,2026-01-26 14:45:00,46.197,700,32337.65,2026-01-28 15:00:00,46.376,32463.2,0.39,125.55,2,2,到期,站上
7,002378,小金属概念,2026-02-06 14:45:00,24.817,1300,32262.05,2026-02-10 15:00:00,24.929,32407.65,0.45,145.6,2,4,到期,站上
8,002436,PCB概念,2026-02-24 14:45:00,25.15,1300,32694.48,2026-02-26 15:00:00,26.625,34612.86,5.87,1918.38,2,2,到期,站上
9,000751,金属锌,2026-02-27 14:45:00,7.167,4900,35117.71,2026-03-02 09:30:00,7.331,35921.31,2.29,803.6,1,3,隔天高开止盈,站上
10,002246,军民融合,2026-03-04 14:45:00,24.303,1400,34024.03,2026-03-06 15:00:00,24.612,34456.13,1.27,432.1,2,2,到期,站上
11,002221,俄乌冲突概念,2026-03-12 14:45:00,9.818,3700,36326.3,2026-03-13 09:30:00,9.86,36483.78,0.43,157.47,1,1,隔天高开止盈,站上
12,002164,减速器,2026-05-15 14:45:00,14.404,2500,36010.8,2026-05-19 15:00:00,14.751,36877.6,2.41,866.8,2,4,到期,站上
13,002380,新型工业化,2026-05-15 14:45:00,42.316,700,29621.09,2026-05-19 15:00:00,43.717,30602.21,3.31,981.12,2,4,到期,站上
