序号,日期,动作,槽位,代码,行业,成交价,股数,成交额,滑动成本,实现收益%,实现盈亏元,槽位现金,账户净值,大盘MA60,备注
1,2025-07-04,买入,1,002558,电子竞技,25.193,1300,32750.83,262.01,,,582.51,99740.07,站上,持有至2025-07-09到期
2,2025-07-09,卖出,1,002558,电子竞技,25.845,1300,33597.95,268.78,2.59,847.12,34180.45,134716.02,站上,到期
3,2025-07-14,买入,1,002857,电力物联网,24.252,1400,33953.47,271.63,,,226.98,100577.65,站上,持有至2025-07-17到期
4,2025-07-17,卖出,1,002857,电力物联网,24.572,1400,34400.58,275.2,1.32,447.1,34627.56,135972.23,站上,到期
5,2025-07-17,买入,1,603039,华为盘古,63.137,500,31568.54,252.55,,,3059.01,101043.68,站上,持有至2025-07-22到期
6,2025-07-22,卖出,1,603039,华为盘古,62.393,500,31196.42,249.57,-1.18,-372.13,34255.43,132370.1,站上,到期
7,2025-07-22,买入,1,000546,盐湖提锂,5.685,6000,34110.72,272.89,,,144.71,100651.38,站上,持有至2025-07-25到期
8,2025-07-25,卖出,1,000546,盐湖提锂,5.585,6000,33509.76,268.08,-1.76,-600.96,33654.47,134101.14,站上,到期
9,2025-07-25,买入,1,000657,PCB概念,19.233,1700,32695.49,261.56,,,958.98,100061.65,站上,持有至2025-07-30到期
10,2025-07-30,卖出,1,000657,PCB概念,16.963,1700,28837.44,230.7,-11.8,-3858.05,29796.42,125533.09,站上,到期
11,2025-08-04,买入,1,600010,稀土永磁,2.53,11700,29601.94,236.82,,,194.49,96228.15,站上,持有至2025-08-07到期
12,2025-08-07,卖出,1,600010,稀土永磁,2.599,11700,30408.77,243.27,2.73,806.83,30603.25,127923.92,站上,到期
13,2025-08-07,买入,1,002558,电子竞技,28.671,1000,28670.54,229.36,,,1932.71,97042.38,站上,持有至2025-08-12到期
14,2025-08-12,卖出,1,002558,电子竞技,28.126,1000,28126.18,225.01,-1.9,-544.37,30058.89,125078.55,站上,到期
15,2025-08-12,买入,1,002837,液冷服务器,55.188,500,27594.0,220.75,,,2464.89,96506.55,站上,持有至2025-08-15到期
16,2025-08-15,卖出,1,002837,液冷服务器,63.309,500,31654.72,253.24,14.72,4060.72,34119.61,132696.27,站上,到期
17,2025-08-15,买入,1,002837,液冷服务器,64.331,500,32165.28,257.32,,,1954.33,100530.99,站上,持有至2025-08-20到期
18,2025-08-15,买入,2,002670,期货概念,20.644,1600,33030.14,264.24,,,303.19,100268.85,站上,持有至2025-08-20到期
19,2025-08-15,买入,3,002418,液冷服务器,4.869,6800,33106.75,264.85,,,226.58,100006.1,站上,持有至2025-08-20到期
20,2025-08-20,卖出,1,002837,液冷服务器,68.746,500,34372.8,274.98,6.86,2207.52,36327.13,137362.9,站上,到期
21,2025-08-20,卖出,2,002670,期货概念,19.334,1600,30934.53,247.48,-6.34,-2095.62,31237.72,133247.43,站上,到期
22,2025-08-20,卖出,3,002418,液冷服务器,4.613,6800,31367.04,250.94,-5.25,-1739.71,31593.62,130778.47,站上,到期
23,2025-08-20,买入,1,002272,液冷服务器,19.323,1800,34782.05,278.26,,,1545.08,98882.42,站上,持有至2025-08-25到期
24,2025-08-20,买入,2,002837,液冷服务器,69.854,400,27941.76,223.53,,,3295.96,98660.66,站上,持有至2025-08-25到期
25,2025-08-20,买入,3,002126,液冷服务器,38.052,800,30441.6,243.53,,,1152.02,98419.06,站上,持有至2025-08-25到期
26,2025-08-25,卖出,1,002272,液冷服务器,19.275,1800,34694.21,277.55,-0.25,-87.84,36239.29,131877.27,站上,到期
27,2025-08-25,卖出,2,002837,液冷服务器,67.555,400,27022.08,216.18,-3.29,-919.68,30318.04,124901.35,站上,到期
28,2025-08-25,卖出,3,002126,液冷服务器,39.244,800,31394.82,251.16,3.13,953.22,32546.84,130752.16,站上,到期
29,2025-08-25,买入,1,600111,稀土永磁,53.112,600,31866.91,254.94,,,4372.37,98851.25,站上,持有至2025-08-28到期
30,2025-08-25,买入,2,002568,超级品牌,28.738,1000,28738.08,229.9,,,1579.96,98623.17,站上,持有至2025-08-28到期
31,2025-08-25,买入,3,002080,PCB概念,38.455,800,30764.16,246.11,,,1782.68,98379.01,站上,持有至2025-08-28到期
32,2025-08-28,卖出,1,600111,稀土永磁,55.691,600,33414.53,267.32,4.86,1547.62,37786.9,131423.54,站上,到期
33,2025-08-28,卖出,2,002568,超级品牌,27.627,1000,27627.2,221.02,-3.87,-1110.88,29207.16,125266.74,站上,到期
34,2025-08-28,卖出,3,002080,PCB概念,36.902,800,29521.92,236.18,-4.04,-1242.24,31304.6,128058.66,站上,到期
35,2025-08-28,买入,1,600111,稀土永磁,56.589,600,33953.47,271.63,,,3833.43,98029.19,站上,持有至2025-09-02到期
36,2025-08-28,买入,2,600601,PCB概念,9.082,3200,29062.66,232.5,,,144.5,97798.53,站上,持有至2025-09-02到期
37,2025-08-28,买入,3,002871,液冷服务器,19.777,1500,29665.44,237.32,,,1639.16,97563.09,站上,持有至2025-09-02到期
38,2025-09-02,卖出,1,600111,稀土永磁,53.231,600,31938.43,255.51,-5.93,-2015.04,35771.86,125934.52,站上,到期
39,2025-09-02,卖出,2,600601,PCB概念,8.74,3200,27966.46,223.73,-3.77,-1096.19,28110.97,120488.99,站上,到期
40,2025-09-02,卖出,3,002871,液冷服务器,16.537,1500,24804.96,198.44,-16.38,-4860.48,26444.12,115331.95,站上,到期
41,2025-09-02,买入,1,002048,减速器,29.635,1200,35562.24,284.5,,,209.62,90044.71,站上,持有至2025-09-05到期
42,2025-09-05,卖出,1,002048,减速器,29.8,1200,35759.62,286.08,0.56,197.38,35969.24,126572.32,站上,到期
43,2025-09-05,买入,1,002074,钠离子电池,44.382,800,35505.79,284.05,,,463.45,90242.53,站上,持有至2025-09-10到期
44,2025-09-05,买入,2,002031,减速器,9.022,3100,27966.96,223.74,,,144.01,90020.57,站上,持有至2025-09-10到期
45,2025-09-05,买入,3,000981,减速器,2.419,10900,26369.28,210.95,,,74.84,89811.29,站上,持有至2025-09-10到期
46,2025-09-10,卖出,1,002074,钠离子电池,46.386,800,37108.74,296.87,4.51,1602.94,37572.18,129183.03,站上,到期
47,2025-09-10,卖出,2,002031,减速器,8.72,3100,27031.01,216.25,-3.35,-935.95,27175.01,118558.03,站上,到期
48,2025-09-10,卖出,3,000981,减速器,2.51,10900,27356.38,218.85,3.74,987.1,27431.22,119755.42,站上,到期
49,2025-09-10,买入,1,000524,免税店,16.955,2200,37300.03,298.4,,,272.15,91882.39,站上,持有至2025-09-15到期
50,2025-09-10,买入,2,002878,冰雪产业,22.055,1200,26466.05,211.73,,,708.97,91672.34,站上,持有至2025-09-15到期
51,2025-09-10,买入,3,600601,PCB概念,9.415,2900,27302.69,218.42,,,128.53,91455.65,站上,持有至2025-09-15到期
52,2025-09-15,卖出,1,000524,免税店,15.049,2200,33107.01,264.86,-11.24,-4193.02,33379.16,126148.66,站上,到期
53,2025-09-15,卖出,2,002878,冰雪产业,20.524,1200,24629.38,197.04,-6.94,-1836.67,25338.34,116444.03,站上,到期
54,2025-09-15,卖出,3,600601,PCB概念,11.835,2900,34320.22,274.56,25.7,7017.54,34448.76,127763.26,站上,到期
55,2025-09-15,买入,1,002364,中国AI50,31.107,1000,31106.88,248.86,,,2272.28,92919.38,站上,持有至2025-09-18到期
56,2025-09-18,卖出,1,002364,中国AI50,29.314,1000,29313.6,234.51,-5.76,-1793.28,31585.88,120922.98,站上,到期
57,2025-09-18,买入,1,002050,人形机器人,45.793,600,27476.06,219.81,,,4109.81,91154.91,站上,持有至2025-09-23到期
58,2025-09-18,买入,2,605488,人形机器人,37.447,600,22468.32,179.75,,,2870.02,90976.59,站上,持有至2025-09-23到期
59,2025-09-23,卖出,1,002050,人形机器人,44.551,600,26730.43,213.84,-2.71,-745.63,30840.25,119345.03,站上,到期
60,2025-09-23,卖出,2,605488,人形机器人,38.271,600,22962.82,183.7,2.2,494.5,25832.84,114269.84,站上,到期
61,2025-09-23,买入,1,002475,同花顺果指数,66.226,400,26490.24,211.92,,,4350.01,90911.6,站上,持有至2025-09-26到期
62,2025-09-23,买入,2,600170,参股券商,3.528,7300,25754.4,206.04,,,78.44,90707.2,站上,持有至2025-09-26到期
63,2025-09-26,卖出,1,002475,同花顺果指数,63.736,400,25494.4,203.96,-3.76,-995.84,29844.41,112628.6,站上,到期
64,2025-09-26,卖出,2,600170,参股券商,2.936,7300,21435.14,171.48,-16.77,-4319.26,21513.57,107414.74,站上,到期
65,2025-10-09,买入,1,002466,盐湖提锂,51.741,500,25870.32,206.96,,,3974.09,85601.42,站上,持有至2025-10-14到期
66,2025-10-09,买入,2,001309,存储芯片,209.745,100,20974.46,167.8,,,539.11,85434.95,站上,持有至2025-10-14到期
67,2025-10-14,卖出,1,002466,盐湖提锂,46.604,500,23302.08,186.42,-9.93,-2568.24,27276.17,104854.03,站上,到期
68,2025-10-14,卖出,2,001309,存储芯片,173.58,100,17358.02,138.86,-17.24,-3616.45,17897.13,97120.05,站上,到期
69,2025-10-14,买入,1,000045,粤港澳大湾区,16.38,1600,26208.0,209.66,,,1068.17,79414.05,站上,持有至2025-10-17到期
70,2025-10-17,卖出,1,000045,粤港澳大湾区,13.809,1600,22093.82,176.75,-15.7,-4114.18,23161.99,97779.87,站上,到期
71,2025-10-22,买入,1,001314,电子竞技,52.144,400,20857.54,166.86,,,2304.45,75342.34,站上,持有至2025-10-27到期
72,2025-10-27,卖出,1,001314,电子竞技,49.302,400,19720.96,157.77,-5.45,-1136.58,22025.41,94251.3,站上,到期
73,2025-10-27,买入,1,000657,PCB概念,20.624,1000,20623.68,164.99,,,1401.73,74207.62,站上,持有至2025-10-30到期
74,2025-10-27,买入,2,002138,PCB概念,42.336,400,16934.4,135.48,,,962.73,74073.22,站上,持有至2025-10-30到期
75,2025-10-30,卖出,1,000657,PCB概念,25.802,1000,25801.92,206.42,25.11,5178.24,27203.65,104885.14,站上,到期
76,2025-10-30,卖出,2,002138,PCB概念,38.688,400,15475.2,123.8,-8.62,-1459.2,16437.93,93690.34,站上,到期
77,2025-10-30,买入,1,600118,国产航母,44.906,600,26943.84,215.55,,,259.81,77876.5,站上,持有至2025-11-04到期
78,2025-10-30,买入,2,002466,盐湖提锂,56.125,200,11225.09,89.8,,,5212.84,77787.41,站上,持有至2025-11-04到期
79,2025-11-04,卖出,1,600118,国产航母,42.368,600,25420.99,203.37,-5.65,-1522.85,25680.81,101734.4,站上,到期
80,2025-11-04,卖出,2,002466,盐湖提锂,51.832,200,10366.4,82.93,-7.65,-858.69,15579.24,86158.8,站上,到期
81,2025-11-04,买入,1,002163,海南自贸区,15.14,1600,24224.26,193.79,,,1456.55,75516.55,站上,持有至2025-11-07到期
82,2025-11-04,买入,2,000892,短剧游戏,8.366,1800,15059.52,120.48,,,519.72,75397.03,站上,持有至2025-11-07到期
83,2025-11-04,买入,3,000620,短剧游戏,3.024,11300,34171.2,273.37,,,277.56,75125.83,站上,持有至2025-11-07到期
84,2025-11-07,卖出,1,002163,海南自贸区,16.507,1600,26411.01,211.29,9.03,2186.75,27867.56,107072.83,站上,到期
85,2025-11-07,卖出,2,000892,短剧游戏,7.291,1800,13124.16,104.99,-12.85,-1935.36,13643.88,93212.99,站上,到期
86,2025-11-07,卖出,3,000620,短剧游戏,3.135,11300,35422.34,283.38,3.66,1251.14,35699.89,112919.33,站上,到期
87,2025-11-07,买入,1,002163,海南自贸区,16.773,1600,26836.99,214.7,,,1030.57,76998.34,站上,持有至2025-11-12到期
88,2025-11-07,买入,2,002170,化肥,13.668,900,12301.63,98.41,,,1342.25,76900.71,站上,持有至2025-11-12到期
89,2025-11-07,买入,3,001203,小金属概念,23.527,1500,35290.08,282.32,,,409.81,76620.63,站上,持有至2025-11-12到期
90,2025-11-12,卖出,1,002163,海南自贸区,14.84,1600,23744.51,189.96,-11.52,-3092.48,24775.08,98316.14,站上,到期
91,2025-11-12,卖出,2,002170,化肥,12.4,900,11160.0,89.28,-9.28,-1141.63,12502.25,85117.14,站上,到期
92,2025-11-12,卖出,3,001203,小金属概念,23.024,1500,34536.48,276.29,-2.14,-753.6,34946.29,107038.62,站上,到期
93,2025-11-12,买入,1,002326,氟化工概念,27.448,900,24703.06,197.62,,,72.02,72027.56,站上,持有至2025-11-17到期
94,2025-11-12,买入,3,002927,智能电网,20.553,1700,34940.3,279.52,,,5.99,71750.26,站上,持有至2025-11-17到期
95,2025-11-17,卖出,1,002326,氟化工概念,30.782,900,27703.58,221.63,12.15,3000.53,27775.61,99643.84,站上,到期
96,2025-11-17,卖出,3,002927,智能电网,20.177,1700,34301.38,274.41,-1.83,-638.93,34307.37,109163.22,站上,到期
97,2025-11-17,买入,1,603026,氟化工概念,107.644,200,21528.86,172.23,,,6246.74,74414.35,站上,持有至2025-11-20到期
98,2025-11-17,买入,2,002407,氟化工概念,40.975,300,12292.56,98.34,,,209.69,74316.79,站上,持有至2025-11-20到期
99,2025-11-17,买入,3,002846,固态电池,21.158,1600,33852.67,270.82,,,454.69,74048.12,站上,持有至2025-11-20到期
100,2025-11-20,卖出,1,603026,氟化工概念,86.562,200,17312.38,138.5,-19.59,-4216.48,23559.13,83337.51,站上,到期
101,2025-11-20,卖出,2,002407,氟化工概念,33.946,300,10183.87,81.47,-17.15,-2108.69,10393.56,74929.38,站上,到期
102,2025-11-20,卖出,3,002846,固态电池,18.888,1600,30220.29,241.76,-10.73,-3632.38,30674.98,95091.67,站上,到期
103,2025-11-28,买入,1,002759,氟化工概念,45.39,500,22695.12,181.56,,,864.01,64447.55,站上,持有至2025-12-03到期
104,2025-12-03,卖出,1,002759,氟化工概念,37.865,500,18932.32,151.46,-16.58,-3762.8,19796.33,79949.87,站上,到期
105,2025-12-08,买入,1,002031,减速器,8.094,2400,19426.18,155.41,,,370.15,60710.69,站上,持有至2025-12-11到期
106,2025-12-11,卖出,1,002031,减速器,7.797,2400,18713.09,149.7,-3.67,-713.09,19083.24,79015.78,跌破,到期
107,2025-12-24,买入,1,002149,航空发动机,42.336,400,16934.4,135.48,,,2148.84,60017.38,站上,持有至2025-12-29到期
108,2025-12-24,买入,2,002796,共封装光学(CPO),28.758,300,8627.47,69.02,,,1766.09,59948.91,站上,持有至2025-12-29到期
109,2025-12-24,买入,3,603031,共封装光学(CPO),50.259,600,30155.33,241.24,,,519.65,59709.58,站上,持有至2025-12-29到期
110,2025-12-29,卖出,1,002149,航空发动机,44.352,400,17740.93,141.93,4.76,806.53,19889.77,76896.51,站上,到期
111,2025-12-29,卖出,2,002796,共封装光学(CPO),28.996,300,8698.85,69.59,0.83,71.38,10464.93,68245.35,站上,到期
112,2025-12-29,卖出,3,603031,共封装光学(CPO),46.693,600,28016.06,224.13,-7.09,-2139.26,28535.72,87132.42,站上,到期
113,2026-01-08,买入,1,000547,军工信息化,37.125,500,18562.32,148.5,,,1327.45,58743.1,站上,持有至2026-01-13到期
114,2026-01-08,买入,2,600118,国产航母,102.816,100,10281.6,82.25,,,183.33,58661.5,站上,持有至2026-01-13到期
115,2026-01-08,买入,3,002428,光纤概念,35.663,800,28530.43,228.24,,,5.29,58435.07,站上,持有至2026-01-13到期
116,2026-01-13,卖出,1,000547,军工信息化,35.712,500,17856.0,142.85,-3.81,-706.32,19183.45,81838.07,站上,到期
117,2026-01-13,卖出,2,600118,国产航母,120.548,100,12054.78,96.44,17.25,1773.18,12238.12,76378.85,站上,到期
118,2026-01-13,卖出,3,002428,光纤概念,37.527,800,30021.89,240.18,5.23,1491.46,30027.17,91712.74,站上,到期
119,2026-01-13,买入,1,002703,长安汽车概念,27.982,600,16789.25,134.31,,,2394.2,61315.49,站上,持有至2026-01-16到期
120,2026-01-16,卖出,1,002703,长安汽车概念,23.064,600,13838.4,110.71,-17.58,-2950.85,16232.6,72447.89,站上,到期
121,2026-01-21,买入,1,600667,存储芯片,9.959,1600,15934.46,127.48,,,298.13,58371.43,站上,持有至2026-01-26到期
122,2026-01-26,卖出,1,600667,存储芯片,9.206,1600,14729.22,117.83,-7.56,-1205.25,15027.35,72140.64,站上,到期
123,2026-01-26,买入,1,000688,金属铅,32.589,400,13035.46,104.28,,,1991.89,57189.19,站上,持有至2026-01-29到期
124,2026-01-26,买入,2,000758,金属锌,8.82,1300,11466.0,91.73,,,772.12,57098.19,站上,持有至2026-01-29到期
125,2026-01-26,买入,3,000960,金属锌,46.197,600,27717.98,221.74,,,2309.19,56878.2,站上,持有至2026-01-29到期
126,2026-01-29,卖出,1,000688,金属铅,28.907,400,11562.75,92.5,-11.3,-1472.7,13554.65,68041.95,站上,到期
127,2026-01-29,卖出,2,000758,金属锌,8.73,1300,11348.48,90.79,-1.02,-117.52,12120.6,67474.43,站上,到期
128,2026-01-29,卖出,3,000960,金属锌,43.152,600,25891.2,207.13,-6.59,-1826.78,28200.39,79975.63,站上,到期
129,2026-01-29,买入,1,002716,金属铅,21.319,600,12791.52,102.33,,,763.13,53774.11,站上,持有至2026-02-03到期
130,2026-01-29,买入,2,002237,金属铅,23.134,500,11566.8,92.53,,,553.8,53682.31,站上,持有至2026-02-03到期
131,2026-02-03,卖出,1,002716,金属铅,15.307,600,9183.94,73.47,-28.2,-3607.58,9947.06,57254.25,站上,到期
132,2026-02-03,卖出,2,002237,金属铅,17.806,500,8903.2,71.23,-23.03,-2663.6,9457.0,56579.45,站上,到期
133,2026-02-03,买入,1,002149,航空发动机,57.486,100,5748.62,45.99,,,4198.44,47558.83,站上,持有至2026-02-06到期
134,2026-02-06,卖出,1,002149,航空发动机,54.788,100,5478.82,43.83,-4.69,-269.81,9677.25,52857.64,站上,到期
135,2026-02-24,买入,1,002455,磷化工,14.636,600,8781.7,70.25,,,895.56,47264.95,站上,持有至2026-02-27到期
136,2026-02-27,卖出,1,002455,磷化工,14.245,600,8547.07,68.38,-2.67,-234.62,9442.63,55716.02,站上,到期
137,2026-02-27,买入,1,002428,光纤概念,48.646,100,4864.61,38.92,,,4578.02,47061.41,站上,持有至2026-03-04到期
