序号,日期,动作,槽位,代码,行业,成交价,股数,成交额,滑动成本,实现收益%,实现盈亏元,槽位现金,账户净值,大盘MA60,备注
1,2025-07-09,买入,1,002537,数字货币,11.159,2900,32359.82,258.88,,,973.51,99743.18,站上,持有至2025-07-14到期
2,2025-07-14,卖出,1,002537,数字货币,10.466,2900,30350.24,242.8,-6.21,-2009.58,31323.75,128585.42,站上,到期
3,2025-07-14,买入,1,002546,电力物联网,6.129,5100,31256.06,250.05,,,67.69,97742.35,站上,持有至2025-07-17到期
4,2025-07-17,卖出,1,002546,电力物联网,5.942,5100,30304.61,242.44,-3.04,-951.46,30372.29,127587.96,站上,到期
5,2025-07-25,买入,1,603032,固态电池,18.406,1600,29449.73,235.6,,,922.57,96805.23,站上,持有至2025-07-30到期
6,2025-07-30,卖出,1,603032,固态电池,17.777,1600,28442.62,227.54,-3.42,-1007.1,29365.19,124703.86,站上,到期
7,2025-07-30,买入,1,002775,旅游概念,4.032,7200,29030.4,232.24,,,334.79,95801.46,站上,持有至2025-08-04到期
8,2025-08-04,卖出,1,002775,旅游概念,5.277,7200,37997.57,303.98,30.89,8967.17,38332.36,143303.02,站上,到期
9,2025-08-04,买入,1,600010,稀土永磁,2.53,15100,38204.21,305.63,,,128.15,104695.82,站上,持有至2025-08-07到期
10,2025-08-04,买入,2,605389,减速器,47.557,700,33290.21,266.32,,,43.13,104431.61,站上,持有至2025-08-07到期
11,2025-08-04,买入,3,002859,PCB概念,26.199,1200,31438.71,251.51,,,1894.62,104182.09,站上,持有至2025-08-07到期
12,2025-08-07,卖出,1,600010,稀土永磁,2.599,15100,39245.5,313.96,2.73,1041.3,39373.65,143054.6,站上,到期
13,2025-08-07,卖出,2,605389,减速器,44.531,700,31171.62,249.37,-6.36,-2118.59,31214.74,134279.21,站上,到期
14,2025-08-07,卖出,3,002859,PCB概念,24.95,1200,29939.75,239.52,-4.77,-1498.96,31834.37,132603.96,站上,到期
15,2025-08-15,买入,1,000026,减速器,20.15,1900,38284.85,306.28,,,1088.81,102118.92,站上,持有至2025-08-20到期
16,2025-08-20,卖出,1,000026,减速器,18.967,1900,36037.38,288.3,-5.87,-2247.47,37126.18,136503.29,站上,到期
17,2025-08-20,买入,1,002364,中国AI50,22.65,1600,36239.62,289.92,,,886.57,99887.68,站上,持有至2025-08-25到期
18,2025-08-25,卖出,1,002364,中国AI50,23.262,1600,37219.84,297.76,2.7,980.22,38106.41,138675.52,站上,到期
19,2025-08-28,买入,1,002272,液冷服务器,19.575,1900,37193.18,297.55,,,913.22,100860.33,站上,持有至2025-09-02到期
20,2025-09-02,卖出,1,002272,液冷服务器,16.418,1900,31193.44,249.55,-16.13,-5999.74,32106.66,126600.77,站上,到期
21,2025-09-05,买入,1,000981,减速器,2.419,13200,31933.44,255.47,,,173.22,94902.33,站上,持有至2025-09-10到期
22,2025-09-10,卖出,1,000981,减速器,2.51,13200,33128.83,265.03,3.74,1195.39,33302.05,129747.16,站上,到期
23,2025-09-10,买入,1,603052,共封装光学(CPO),32.972,1000,32971.68,263.77,,,330.37,96089.48,站上,持有至2025-09-15到期
24,2025-09-10,买入,2,002859,PCB概念,31.592,900,28432.56,227.46,,,2782.19,95863.83,站上,持有至2025-09-15到期
25,2025-09-10,买入,3,000524,免税店,16.955,1800,30518.21,244.15,,,1316.16,95621.62,站上,持有至2025-09-15到期
26,2025-09-15,卖出,1,603052,共封装光学(CPO),32.657,1000,32656.64,261.25,-0.96,-315.04,32987.01,127012.26,站上,到期
27,2025-09-15,卖出,2,002859,PCB概念,31.854,900,28668.7,229.35,0.83,236.15,31450.89,122355.96,站上,到期
28,2025-09-15,卖出,3,000524,免税店,15.049,1800,27087.55,216.7,-11.24,-3430.66,28403.71,120147.61,站上,到期
29,2025-09-26,买入,1,605566,染料,28.526,1100,31379.04,251.03,,,1607.97,92592.57,站上,持有至2025-10-09到期
30,2025-09-26,买入,2,002549,氟化工概念,24.998,1200,29998.08,239.98,,,1452.81,92354.49,站上,持有至2025-10-09到期
31,2025-10-09,卖出,1,605566,染料,27.092,1100,29800.67,238.41,-5.03,-1578.37,31408.65,120514.17,站上,到期
32,2025-10-09,卖出,2,002549,氟化工概念,22.399,1200,26879.23,215.03,-10.4,-3118.85,28332.04,115240.4,站上,到期
33,2025-10-09,买入,1,002765,减速器,14.354,2100,30143.23,241.15,,,1265.41,87905.17,站上,持有至2025-10-14到期
34,2025-10-09,买入,2,002048,减速器,39.836,700,27885.31,223.08,,,446.73,87683.85,站上,持有至2025-10-14到期
35,2025-10-14,卖出,1,002765,减速器,14.414,2100,30268.9,242.15,0.42,125.66,31534.31,116041.75,站上,到期
36,2025-10-14,卖出,2,002048,减速器,32.736,700,22915.2,183.32,-17.82,-4970.11,23361.93,106399.95,站上,到期
37,2025-10-17,买入,1,002629,页岩气,8.014,3900,31253.04,250.02,,,281.27,83051.91,站上,持有至2025-10-22到期
38,2025-10-22,卖出,1,002629,页岩气,8.611,3900,33581.18,268.65,7.45,2328.14,33862.45,119480.09,站上,到期
39,2025-11-12,买入,1,002915,氟化工概念,27.024,1200,32429.38,259.44,,,1433.08,85370.72,站上,持有至2025-11-17到期
40,2025-11-12,买入,2,002706,智能电网,11.582,2000,23163.84,185.31,,,198.09,85186.88,站上,持有至2025-11-17到期
41,2025-11-12,买入,3,002897,共封装光学(CPO),48.324,500,24161.76,193.29,,,4241.95,84995.12,站上,持有至2025-11-17到期
42,2025-11-17,卖出,1,002915,氟化工概念,26.09,1200,31307.52,250.46,-3.46,-1121.86,32740.6,114340.64,站上,到期
43,2025-11-17,卖出,2,002706,智能电网,10.545,2000,21089.92,168.72,-8.95,-2073.92,21288.01,103550.56,站上,到期
44,2025-11-17,卖出,3,002897,共封装光学(CPO),48.995,500,24497.44,195.98,1.39,335.68,28739.39,107463.0,站上,到期
45,2025-11-17,买入,1,605378,锂电池概念,26.349,1200,31618.94,252.95,,,1121.65,82517.05,站上,持有至2025-11-20到期
46,2025-11-20,卖出,1,605378,锂电池概念,23.808,1200,28569.6,228.56,-9.64,-3049.34,29691.25,108518.65,站上,到期
47,2025-11-20,买入,1,000090,租售同权,4.254,6900,29350.94,234.81,,,340.31,79485.71,站上,持有至2025-11-25到期
48,2025-11-25,卖出,1,000090,租售同权,4.107,6900,28337.47,226.7,-3.45,-1013.47,28677.78,107271.18,站上,到期
49,2025-11-28,买入,1,002080,PCB概念,32.76,800,26208.0,209.66,,,2469.78,78497.18,站上,持有至2025-12-03到期
50,2025-11-28,买入,2,002463,PCB概念,70.006,300,21001.68,168.01,,,286.33,78330.5,站上,持有至2025-12-03到期
51,2025-12-03,卖出,1,002080,PCB概念,32.488,800,25990.4,207.92,-0.83,-217.6,28460.18,104964.9,站上,到期
52,2025-12-03,卖出,2,002463,PCB概念,70.968,300,21290.3,170.32,1.37,288.62,21576.63,100238.21,站上,到期
53,2025-12-24,买入,1,002491,光纤概念,6.602,4300,28390.32,227.12,,,69.86,78550.89,站上,持有至2025-12-29到期
54,2025-12-29,卖出,1,002491,光纤概念,6.131,4300,26361.41,210.89,-7.15,-2028.91,26431.27,103321.29,站上,到期
55,2025-12-29,买入,1,002829,军工信息化,30.512,800,24409.73,195.28,,,2021.54,76553.57,站上,持有至2026-01-05到期
56,2026-01-05,卖出,1,002829,军工信息化,30.683,800,24546.05,196.37,0.56,136.32,26567.59,101627.61,站上,到期
57,2026-01-13,买入,1,002510,长安汽车概念,7.661,3400,26046.72,208.37,,,520.87,76676.89,站上,持有至2026-01-16到期
58,2026-01-16,卖出,1,002510,长安汽车概念,8.095,3400,27522.05,220.18,5.66,1475.33,28042.92,106102.94,站上,到期
59,2026-01-16,买入,1,002465,军工信息化,21.732,1200,26078.98,208.63,,,1963.94,78151.97,站上,持有至2026-01-21到期
60,2026-01-16,买入,2,001896,抽水蓄能,6.391,3300,21089.38,168.72,,,487.25,77984.59,站上,持有至2026-01-21到期
61,2026-01-16,买入,3,000981,减速器,5.09,5600,28506.24,228.05,,,233.15,77758.35,站上,持有至2026-01-21到期
62,2026-01-21,卖出,1,002465,军工信息化,17.558,1200,21070.08,168.56,-19.21,-5008.9,23034.02,96895.43,站上,到期
63,2026-01-21,卖出,2,001896,抽水蓄能,6.309,3300,20820.1,166.56,-1.28,-269.28,21307.35,95914.53,站上,到期
64,2026-01-21,卖出,3,000981,减速器,5.139,5600,28775.94,230.21,0.95,269.7,29009.09,102358.46,站上,到期
65,2026-02-06,买入,1,000534,航空发动机,29.282,700,20497.68,163.98,,,2536.34,73187.78,站上,持有至2026-02-11到期
66,2026-02-06,买入,2,002785,盐湖提锂,47.396,400,18958.46,151.67,,,2348.89,73037.32,站上,持有至2026-02-11到期
67,2026-02-11,卖出,1,000534,航空发动机,31.982,700,22387.46,179.1,9.22,1889.78,24923.8,97769.77,站上,到期
68,2026-02-11,卖出,2,002785,盐湖提锂,46.852,400,18740.86,149.93,-1.15,-217.6,21089.75,93914.64,站上,到期
69,2026-02-11,买入,1,002072,煤炭概念,7.762,3200,24837.12,198.7,,,86.68,74825.52,站上,持有至2026-02-24到期
70,2026-02-24,卖出,1,002072,煤炭概念,7.797,3200,24950.78,199.61,0.46,113.66,25037.46,100288.3,站上,到期
71,2026-02-24,买入,1,000657,PCB概念,53.908,400,21563.14,172.51,,,3474.33,74965.17,站上,持有至2026-02-27到期
72,2026-02-27,卖出,1,000657,PCB概念,65.69,400,26276.1,210.21,21.86,4712.96,29750.42,106337.26,站上,到期
73,2026-02-27,买入,1,603042,光纤概念,19.676,1500,29514.24,236.11,,,236.18,79615.02,站上,持有至2026-03-04到期
74,2026-02-27,买入,2,000021,存储芯片,34.675,600,20805.12,166.44,,,284.63,79449.9,站上,持有至2026-03-04到期
75,2026-02-27,买入,3,600667,存储芯片,11.169,2500,27921.6,223.37,,,1087.49,79228.3,站上,持有至2026-03-04到期
76,2026-03-04,卖出,1,603042,光纤概念,20.366,1500,30548.64,244.39,3.5,1034.4,30784.82,105809.94,站上,到期
77,2026-03-04,卖出,2,000021,存储芯片,30.95,600,18570.24,148.56,-10.74,-2234.88,18854.87,93897.18,站上,到期
