序号,日期,动作,槽位,代码,行业,成交价,股数,成交额,滑动成本,实现收益%,实现盈亏元,槽位现金,账户净值,大盘MA60,备注
1,2025-07-04,买入,1,002558,电子竞技,25.193,1300,32750.83,262.01,,,582.51,99740.07,站上,持有至2025-07-09到期
2,2025-07-09,卖出,1,002558,电子竞技,25.845,1300,33597.95,268.78,2.59,847.12,34180.45,134716.02,站上,到期
3,2025-08-12,买入,1,002837,液冷服务器,55.188,600,33112.8,264.9,,,1067.65,100584.32,站上,持有至2025-08-15到期
4,2025-08-15,卖出,1,002837,液冷服务器,63.309,600,37985.66,303.89,14.72,4872.86,39053.32,144011.99,站上,到期
5,2025-08-15,买入,1,002871,液冷服务器,14.102,2700,38075.18,304.6,,,978.13,105417.8,站上,持有至2025-08-20到期
6,2025-08-15,买入,2,002837,液冷服务器,64.331,500,32165.28,257.32,,,1168.05,105162.52,站上,持有至2025-08-20到期
7,2025-08-20,卖出,1,002871,液冷服务器,16.814,2700,45398.88,363.19,19.23,7323.7,46377.01,160373.4,站上,到期
8,2025-08-20,卖出,2,002837,液冷服务器,68.746,500,34372.8,274.98,6.86,2207.52,35540.85,149901.2,站上,到期
9,2025-08-25,买入,1,600111,稀土永磁,53.112,800,42489.22,339.91,,,3887.8,114913.99,站上,持有至2025-08-28到期
10,2025-08-28,卖出,1,600111,稀土永磁,55.691,800,44552.7,356.42,4.86,2063.49,48440.5,162226.69,站上,到期
11,2025-08-28,买入,1,002938,同花顺果指数,57.385,800,45908.35,367.27,,,2532.15,116950.34,站上,持有至2025-09-02到期
12,2025-09-02,卖出,1,002938,同花顺果指数,53.766,800,43013.12,344.1,-6.31,-2895.23,45545.27,157779.46,站上,到期
13,2025-09-02,买入,1,000564,物业管理,2.701,16800,45384.19,363.07,,,161.08,114059.27,站上,持有至2025-09-05到期
14,2025-09-05,卖出,1,000564,物业管理,2.678,16800,44997.12,359.98,-0.85,-387.07,45158.2,159392.39,站上,到期
15,2025-09-05,买入,1,002466,盐湖提锂,46.721,900,42048.72,336.39,,,3109.48,113698.67,站上,持有至2025-09-10到期
16,2025-09-05,买入,2,002048,减速器,30.28,1100,33308.35,266.47,,,2232.5,113434.31,站上,持有至2025-09-10到期
17,2025-09-10,卖出,1,002466,盐湖提锂,43.579,900,39220.7,313.77,-6.73,-2828.02,42330.18,153634.02,站上,到期
18,2025-09-10,卖出,2,002048,减速器,31.853,1100,35038.43,280.31,5.19,1730.08,37270.93,148255.45,站上,到期
19,2025-09-10,买入,1,600601,PCB概念,9.415,4400,41424.77,331.4,,,905.41,112605.68,站上,持有至2025-09-15到期
20,2025-09-15,卖出,1,600601,PCB概念,11.835,4400,52072.06,416.58,25.7,10647.3,52977.48,176073.75,站上,到期
21,2025-09-18,买入,1,605305,风电,41.751,1200,50101.63,400.81,,,2875.85,123184.11,站上,持有至2025-09-23到期
22,2025-09-23,卖出,1,605305,风电,39.124,1200,46949.38,375.6,-6.29,-3152.26,49825.22,167757.49,站上,到期
23,2025-10-09,买入,1,000063,光纤概念,50.38,900,45341.86,362.73,,,4483.37,120069.63,站上,持有至2025-10-14到期
24,2025-10-14,卖出,1,000063,光纤概念,49.798,900,44818.56,358.55,-1.15,-523.3,49301.93,165086.19,站上,到期
25,2025-10-30,买入,1,002466,盐湖提锂,56.125,800,44900.35,359.2,,,4401.57,119549.84,站上,持有至2025-11-04到期
26,2025-11-04,卖出,1,002466,盐湖提锂,51.832,800,41465.6,331.72,-7.65,-3434.75,45867.17,158271.44,站上,到期
27,2025-11-07,买入,1,002170,化肥,13.668,3300,45105.98,360.85,,,761.19,116113.46,站上,持有至2025-11-12到期
28,2025-11-12,卖出,1,002170,化肥,12.4,3300,40920.0,327.36,-9.28,-4185.98,41681.19,153535.46,站上,到期
29,2025-11-17,买入,1,002466,盐湖提锂,62.698,600,37618.56,300.95,,,4062.63,111986.9,站上,持有至2025-11-20到期
30,2025-11-20,卖出,1,002466,盐湖提锂,61.812,600,37086.91,296.7,-1.41,-531.65,41149.54,149139.81,站上,到期
31,2025-12-24,买入,1,000547,军工信息化,25.129,1600,40207.1,321.66,,,942.44,111434.71,站上,持有至2025-12-29到期
32,2025-12-29,卖出,1,000547,军工信息化,30.732,1600,49171.46,393.37,22.3,8964.35,50113.89,170286.16,站上,到期
33,2026-01-13,买入,1,000739,流感,17.932,2700,48417.26,387.34,,,1696.63,120333.9,站上,持有至2026-01-16到期
34,2026-01-16,卖出,1,000739,流感,17.499,2700,47246.98,377.98,-2.42,-1170.29,48943.61,167175.87,站上,到期
35,2026-01-21,买入,1,000603,金属铅,46.368,1000,46368.0,370.94,,,2575.61,119179.87,站上,持有至2026-01-26到期
36,2026-01-21,买入,2,002738,小金属概念,92.736,400,37094.4,296.76,,,176.53,118885.47,站上,持有至2026-01-26到期
37,2026-01-26,卖出,1,000603,金属铅,56.197,1000,56196.8,449.57,21.2,9828.8,58772.41,187532.27,站上,到期
38,2026-01-26,卖出,2,002738,小金属概念,94.379,400,37751.55,302.01,1.77,657.15,37928.09,168089.83,站上,到期
39,2026-01-26,买入,1,000510,金属铜,20.452,2800,57266.5,458.13,,,1505.91,129579.33,站上,持有至2026-01-29到期
40,2026-01-26,买入,2,000688,金属铅,32.589,1100,35847.5,286.78,,,2080.58,129294.83,站上,持有至2026-01-29到期
41,2026-01-26,买入,3,000960,金属锌,46.197,700,32337.65,258.7,,,995.69,129038.18,站上,持有至2026-01-29到期
42,2026-01-29,卖出,1,000510,金属铜,16.497,2800,46191.49,369.53,-19.34,-11075.01,47697.4,164030.67,站上,到期
43,2026-01-29,卖出,2,000688,金属铅,28.907,1100,31797.57,254.38,-11.3,-4049.94,33878.15,147350.23,站上,到期
44,2026-01-29,卖出,3,000960,金属锌,43.152,700,30206.4,241.65,-6.59,-2131.25,31202.09,143227.63,站上,到期
45,2026-02-06,买入,1,002378,小金属概念,24.817,1900,47152.22,377.22,,,545.17,112403.41,站上,持有至2026-02-11到期
46,2026-02-11,卖出,1,002378,小金属概念,27.419,1900,52095.87,416.77,10.48,4943.65,52641.05,170237.28,站上,到期
47,2026-02-24,买入,1,002436,PCB概念,25.15,2000,50299.2,402.39,,,2341.85,117322.08,站上,持有至2026-02-27到期
48,2026-02-27,卖出,1,002436,PCB概念,25.762,2000,51524.48,412.2,2.44,1225.28,53866.33,170886.56,站上,到期
49,2026-02-27,买入,1,000751,金属锌,7.167,7500,53751.6,430.01,,,114.73,118519.96,站上,持有至2026-03-04到期
50,2026-03-04,卖出,1,000751,金属锌,6.924,7500,51931.2,415.45,-3.39,-1820.4,52045.93,169476.16,站上,到期
51,2026-03-04,买入,1,002246,军民融合,24.303,2100,51036.05,408.29,,,1009.88,116721.11,站上,持有至2026-03-09到期
52,2026-03-09,卖出,1,002246,军民融合,24.582,2100,51621.7,412.97,1.15,585.65,52631.57,169749.81,站上,到期
53,2026-03-12,买入,1,002221,俄乌冲突概念,9.818,5300,52034.98,416.28,,,596.6,117298.83,站上,持有至2026-03-17到期
54,2026-03-17,卖出,1,002221,俄乌冲突概念,9.196,5300,48737.95,389.9,-6.34,-3297.02,49334.55,163545.79,站上,到期
55,2026-05-15,买入,1,002164,减速器,14.404,3400,48974.69,391.8,,,359.86,114026.1,站上,持有至2026-05-20到期
56,2026-05-15,买入,2,002380,新型工业化,42.316,800,33852.67,270.82,,,25.48,113757.43,站上,持有至2026-05-20到期
57,2026-05-20,卖出,1,002164,减速器,14.473,3400,49209.15,393.67,0.48,234.46,49569.01,165658.58,站上,到期
58,2026-05-20,卖出,2,002380,新型工业化,45.364,800,36291.33,290.33,7.2,2438.66,36316.81,153671.91,站上,到期
