序号,日期,动作,槽位,代码,行业,成交价,股数,成交额,滑动成本,实现收益%,实现盈亏元,槽位现金,账户净值,大盘MA60,备注
1,2025-08-20,买入,1,001339,算力租赁,60.792,500,30396.24,243.17,,,2937.09,99758.76,站上,持有至2025-08-25到期
2,2025-08-25,卖出,1,001339,算力租赁,69.708,500,34853.92,278.83,14.67,4457.68,37791.01,139592.68,站上,到期
3,2025-08-28,买入,1,002272,液冷服务器,19.575,1900,37193.18,297.55,,,597.83,104162.5,站上,持有至2025-09-02到期
4,2025-09-02,卖出,1,002272,液冷服务器,16.418,1900,31193.44,249.55,-16.13,-5999.74,31791.27,129902.94,站上,到期
5,2025-10-09,买入,1,002048,减速器,39.836,700,27885.31,223.08,,,3905.96,98236.62,站上,持有至2025-10-14到期
6,2025-10-14,卖出,1,002048,减速器,32.736,700,22915.2,183.32,-17.82,-4970.11,26821.16,116587.82,站上,到期
7,2026-01-08,买入,1,002471,航空发动机,8.508,3100,26373.31,210.99,,,447.85,93278.51,站上,持有至2026-01-13到期
8,2026-01-13,卖出,1,002471,航空发动机,8.154,3100,25278.14,202.23,-4.15,-1095.17,25725.99,117874.66,站上,到期
9,2026-03-12,买入,1,002350,智能电网,15.322,1600,24514.56,196.12,,,1211.43,92198.1,站上,持有至2026-03-17到期
10,2026-03-17,卖出,1,002350,智能电网,13.253,1600,21204.99,169.64,-13.5,-3309.57,22416.42,110459.09,站上,到期
11,2026-05-20,买入,1,600183,PCB概念,100.558,200,20111.62,160.89,,,2304.81,88923.47,站上,持有至2026-05-25到期
12,2026-05-25,卖出,1,600183,PCB概念,114.794,200,22958.85,183.67,14.16,2847.23,25263.65,115074.32,跌破,到期
