序号,日期,动作,槽位,代码,行业,成交价,股数,成交额,滑动成本,实现收益%,实现盈亏元,槽位现金,账户净值,大盘MA60,备注
1,2025-07-01,买入,1,000737,黄金概念,11.511,2800,32231.81,257.85,,,1101.53,99744.19,站上,持有至2025-07-04到期
2,2025-07-01,涨停跳过,2,002940,创新药,40.601,0,0.0,0.0,,,33333.33,99744.19,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
3,2025-07-01,涨停跳过,3,002080,PCB概念,21.45,0,0.0,0.0,,,33333.33,99744.19,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
4,2025-07-04,卖出,1,000737,黄金概念,11.249,2800,31497.98,251.98,-2.28,-733.82,32599.51,131018.18,站上,到期
5,2025-07-04,买入,1,002558,电子竞技,25.193,1200,30231.53,241.85,,,2367.98,99026.24,站上,持有至2025-07-09到期
6,2025-07-04,买入,2,002366,超超临界发电,9.012,3600,32441.47,259.53,,,891.86,98768.77,站上,持有至2025-07-09到期
7,2025-07-04,买入,3,002555,电子竞技,18.227,1800,32807.98,262.46,,,525.35,98508.39,站上,持有至2025-07-09到期
8,2025-07-09,卖出,1,002558,电子竞技,25.845,1200,31013.49,248.11,2.59,781.96,33381.47,132863.88,站上,到期
9,2025-07-09,卖出,2,002366,超超临界发电,9.484,3600,34140.67,273.13,5.24,1699.2,35032.53,135884.95,站上,到期
10,2025-07-09,卖出,3,002555,电子竞技,18.334,1800,33001.46,264.01,0.59,193.48,33526.81,135208.41,站上,到期
11,2025-07-09,涨停跳过,1,000514,物业管理,6.24,0,0.0,0.0,,,33381.47,101940.81,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
12,2025-07-09,买入,2,001267,共封装光学(CPO),11.894,2900,34493.76,275.95,,,538.77,101667.05,站上,持有至2025-07-14到期
13,2025-07-09,买入,3,002384,共封装光学(CPO),46.791,700,32753.95,262.03,,,772.86,101407.1,站上,持有至2025-07-14到期
14,2025-07-14,卖出,2,001267,共封装光学(CPO),11.835,2900,34320.22,274.56,-0.5,-173.54,34859.0,134704.32,站上,到期
15,2025-07-14,卖出,3,002384,共封装光学(CPO),46.822,700,32775.68,262.21,0.07,21.73,33548.54,134829.0,站上,到期
16,2025-07-14,涨停跳过,1,002121,电力物联网,6.58,0,0.0,0.0,,,33381.47,101789.0,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
17,2025-07-14,涨停跳过,2,600173,金属铅,7.55,0,0.0,0.0,,,34859.0,101789.0,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
18,2025-07-14,涨停跳过,3,001896,抽水蓄能,6.74,0,0.0,0.0,,,33548.54,101789.0,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
19,2025-07-17,买入,1,002645,稀土永磁,13.134,2500,32835.6,262.68,,,545.87,101528.4,站上,持有至2025-07-22到期
20,2025-07-17,涨停跳过,2,002730,算力租赁,19.81,0,0.0,0.0,,,34859.0,101528.4,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
21,2025-07-17,买入,3,603039,华为盘古,63.137,500,31568.54,252.55,,,1980.0,101277.86,站上,持有至2025-07-22到期
22,2025-07-22,卖出,1,002645,稀土永磁,14.582,2500,36456.0,291.65,11.03,3620.4,37001.87,142953.86,站上,到期
23,2025-07-22,卖出,3,603039,华为盘古,62.393,500,31196.42,249.57,-1.18,-372.13,33176.41,136485.28,站上,到期
24,2025-07-22,涨停跳过,1,002017,数字货币,22.36,0,0.0,0.0,,,37001.87,105037.28,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
25,2025-07-22,涨停跳过,2,000983,煤炭概念,7.504,0,0.0,0.0,,,34859.0,105037.28,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
26,2025-07-22,买入,3,000762,盐湖提锂,23.486,1400,32880.96,263.05,,,295.45,104776.32,站上,持有至2025-07-25到期
27,2025-07-25,卖出,3,000762,盐湖提锂,23.193,1400,32470.14,259.76,-1.25,-410.82,32765.6,137358.46,站上,到期
28,2025-07-25,买入,1,000657,PCB概念,19.233,1900,36542.02,292.34,,,459.85,104336.44,站上,持有至2025-07-30到期
29,2025-07-25,买入,2,002497,固态电池,15.715,2200,34572.38,276.58,,,286.61,104062.06,站上,持有至2025-07-30到期
30,2025-07-25,买入,3,002436,PCB概念,16.39,1900,31141.15,249.13,,,1624.44,103814.91,站上,持有至2025-07-30到期
31,2025-07-30,卖出,1,000657,PCB概念,16.963,1900,32230.08,257.84,-11.8,-4311.94,32689.93,136057.99,站上,到期
32,2025-07-30,卖出,2,002497,固态电池,14.523,2200,31950.34,255.6,-7.58,-2622.05,32236.95,133472.32,站上,到期
33,2025-07-30,卖出,3,002436,PCB概念,18.441,1900,35038.43,280.31,12.51,3897.28,36662.88,136910.76,站上,到期
34,2025-07-30,涨停跳过,1,000558,冰雪产业,6.59,0,0.0,0.0,,,32689.93,101589.76,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
35,2025-07-30,涨停跳过,2,600010,稀土永磁,2.92,0,0.0,0.0,,,32236.95,101589.76,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
36,2025-07-30,涨停跳过,3,001318,乳业,16.49,0,0.0,0.0,,,36662.88,101589.76,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
37,2025-08-04,买入,1,002837,液冷服务器,42.85,700,29995.06,239.96,,,2694.88,101351.7,站上,持有至2025-08-07到期
38,2025-08-04,涨停跳过,2,600211,创新药,45.309,0,0.0,0.0,,,32236.95,101351.7,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
39,2025-08-04,买入,3,002859,PCB概念,26.199,1300,34058.61,272.47,,,2604.27,101081.39,站上,持有至2025-08-07到期
40,2025-08-07,卖出,1,002837,液冷服务器,41.833,700,29282.85,234.26,-2.37,-712.21,31977.72,129242.24,站上,到期
41,2025-08-07,卖出,3,002859,PCB概念,24.95,1300,32434.73,259.48,-4.77,-1623.88,35039.0,131949.97,站上,到期
42,2025-08-07,涨停跳过,1,002017,数字货币,30.72,0,0.0,0.0,,,31977.72,99253.67,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
43,2025-08-07,涨停跳过,2,002611,人形机器人,17.2,0,0.0,0.0,,,32236.95,99253.67,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
44,2025-08-07,买入,3,002558,电子竞技,28.671,1200,34404.65,275.24,,,634.35,98980.62,站上,持有至2025-08-12到期
45,2025-08-12,卖出,3,002558,电子竞技,28.126,1200,33751.41,270.01,-1.9,-653.24,34385.76,132624.03,站上,到期
46,2025-08-12,买入,1,002837,液冷服务器,55.188,500,27594.0,220.75,,,4383.72,98381.43,站上,持有至2025-08-15到期
47,2025-08-12,涨停跳过,2,600246,存储芯片,9.23,0,0.0,0.0,,,32236.95,98381.43,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
48,2025-08-12,涨停跳过,3,002176,小金属概念,9.55,0,0.0,0.0,,,34385.76,98381.43,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
49,2025-08-15,卖出,1,002837,液冷服务器,63.309,500,31654.72,253.24,14.72,4060.72,36038.44,134571.15,站上,到期
50,2025-08-15,涨停跳过,1,002536,液冷服务器,29.62,0,0.0,0.0,,,36038.44,102661.15,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
51,2025-08-15,买入,2,002837,液冷服务器,64.331,500,32165.28,257.32,,,71.67,102405.87,站上,持有至2025-08-20到期
52,2025-08-15,涨停跳过,3,002939,期货概念,11.984,0,0.0,0.0,,,34385.76,102405.87,站上,"买入日涨停封板, 14:45买不进, 本槽空置"
53,2025-08-20,卖出,2,002837,液冷服务器,68.746,500,34372.8,274.98,6.86,2207.52,34444.47,139518.67,站上,到期
54,2025-08-20,买入,1,002871,液冷服务器,17.086,2100,35879.76,287.04,,,158.68,104583.91,站上,持有至2025-08-25到期
55,2025-08-20,买入,2,002272,液冷服务器,19.323,1700,32849.71,262.8,,,1594.76,104323.2,站上,持有至2025-08-25到期
56,2025-08-20,买入,3,002536,液冷服务器,32.377,1000,32376.96,259.02,,,2008.8,104066.24,站上,持有至2025-08-25到期
57,2025-08-25,卖出,1,002871,液冷服务器,18.193,2100,38205.89,305.65,6.48,2326.13,38364.57,141108.13,站上,到期
58,2025-08-25,卖出,2,002272,液冷服务器,19.275,1700,32766.75,262.13,-0.25,-82.96,34361.51,136125.88,站上,到期
59,2025-08-25,卖出,3,002536,液冷服务器,28.044,1000,28043.84,224.35,-13.38,-4333.12,30052.64,131048.72,站上,到期
60,2025-08-25,买入,1,000617,信托概念,12.797,2900,37110.02,296.88,,,1254.55,102484.19,站上,持有至2025-08-28到期
