序号,日期,动作,槽位,代码,行业,成交价,股数,成交额,滑动成本,实现收益%,实现盈亏元,槽位现金,账户净值,大盘MA60,备注
1,2025-07-01,买入,1,002550,仿制药一致性评价,9.082,3600,32695.49,261.56,,,637.85,99740.51,站上,持有至2025-07-04到期 [顺延非封板候选]
2,2025-07-01,买入,2,600105,共封装光学(CPO),8.694,3800,33037.2,264.3,,,296.13,99478.31,站上,持有至2025-07-04到期 [顺延非封板候选]
3,2025-07-01,买入,3,605599,高股息精选,17.569,1800,31624.99,253.0,,,1708.34,99227.32,站上,持有至2025-07-04到期 [顺延非封板候选]
4,2025-07-04,卖出,1,002550,仿制药一致性评价,9.126,3600,32855.04,262.84,0.49,159.55,33492.89,132594.36,站上,到期
5,2025-07-04,卖出,2,600105,共封装光学(CPO),8.625,3800,32776.67,262.21,-0.79,-260.53,33072.81,132365.03,站上,到期
6,2025-07-04,卖出,3,605599,高股息精选,16.636,1800,29944.51,239.56,-5.31,-1680.48,31652.85,128404.54,站上,到期
7,2025-07-04,买入,1,002558,电子竞技,25.193,1300,32750.83,262.01,,,742.06,97958.62,站上,持有至2025-07-09到期 [顺延非封板候选]
8,2025-07-04,买入,2,002130,海峡两岸,24.504,1300,31855.82,254.85,,,1216.98,97705.79,站上,持有至2025-07-09到期 [顺延非封板候选]
9,2025-07-04,买入,3,002555,电子竞技,18.227,1700,30985.32,247.88,,,667.54,97459.88,站上,持有至2025-07-09到期 [顺延非封板候选]
10,2025-07-09,卖出,1,002558,电子竞技,25.845,1300,33597.95,268.78,2.59,847.12,34340.01,134004.83,站上,到期
11,2025-07-09,卖出,2,002130,海峡两岸,25.643,1300,33336.16,266.69,4.65,1480.34,34553.14,133888.09,站上,到期
12,2025-07-09,卖出,3,002555,电子竞技,18.334,1700,31168.04,249.34,0.59,182.73,31835.58,132148.13,站上,到期
13,2025-07-09,买入,1,002384,共封装光学(CPO),46.791,700,32753.95,262.03,,,1586.05,100468.78,站上,持有至2025-07-14到期 [顺延非封板候选]
14,2025-07-09,买入,2,001267,共封装光学(CPO),11.894,2900,34493.76,275.95,,,59.38,100195.02,站上,持有至2025-07-14到期 [顺延非封板候选]
15,2025-07-09,买入,3,002602,电子竞技,13.427,2300,30881.09,247.05,,,954.49,99949.93,站上,持有至2025-07-14到期 [顺延非封板候选]
16,2025-07-14,卖出,1,002384,共封装光学(CPO),46.822,700,32775.68,262.21,0.07,21.73,34361.73,130400.61,站上,到期
17,2025-07-14,卖出,2,001267,共封装光学(CPO),11.835,2900,34320.22,274.56,-0.5,-173.54,34379.61,132260.84,站上,到期
18,2025-07-14,卖出,3,002602,电子竞技,12.668,2300,29136.03,233.09,-5.65,-1745.06,30090.53,128202.87,站上,到期
19,2025-07-17,买入,1,002463,PCB概念,53.535,600,32120.93,256.97,,,2240.81,98576.94,站上,持有至2025-07-22到期 [顺延非封板候选]
20,2025-07-22,卖出,1,002463,PCB概念,51.038,600,30623.04,244.98,-4.66,-1497.89,32863.85,128203.98,站上,到期
21,2025-07-22,买入,1,600121,煤炭概念,4.486,7300,32744.88,261.96,,,118.97,97074.1,站上,持有至2025-07-25到期 [顺延非封板候选]
22,2025-07-22,买入,2,600188,煤炭概念,13.487,2500,33717.6,269.74,,,662.01,96806.5,站上,持有至2025-07-25到期 [顺延非封板候选]
23,2025-07-22,买入,3,002104,数字货币,22.962,1300,29850.91,238.81,,,239.61,96569.59,站上,持有至2025-07-25到期 [顺延非封板候选]
24,2025-07-25,卖出,1,600121,煤炭概念,4.514,7300,32949.28,263.59,0.62,204.4,33068.25,127716.87,站上,到期
25,2025-07-25,卖出,2,600188,煤炭概念,13.025,2500,32562.4,260.5,-3.43,-1155.2,33224.41,126514.27,站上,到期
