序号,日期,动作,槽位,代码,行业,成交价,股数,成交额,滑动成本,实现收益%,实现盈亏元,槽位现金,账户净值,大盘MA60,备注
1,2025-06-26,买入,1,002263,PET铜箔,3.437,9600,32997.89,263.98,,,335.45,99738.11,站上,持有至2025-07-03到期
2,2025-06-26,买入,2,600113,预制菜,28.053,1100,30857.9,246.86,,,2475.43,99493.21,站上,持有至2025-07-03到期
3,2025-06-26,买入,3,002086,预制菜,2.923,11400,33324.48,266.6,,,8.85,99228.73,站上,持有至2025-07-03到期
4,2025-07-03,卖出,1,002263,PET铜箔,4.276,9600,41044.99,328.36,24.39,8047.1,41380.44,151032.72,站上,到期
5,2025-07-03,卖出,2,600113,预制菜,27.776,1100,30553.6,244.43,-0.99,-304.3,33029.03,140672.32,站上,到期
6,2025-07-03,卖出,3,002086,预制菜,3.045,11400,34718.02,277.74,4.18,1393.54,34726.87,144134.34,站上,到期
7,2025-07-03,买入,1,600601,PCB概念,5.635,7300,41133.46,329.07,,,246.98,108809.88,站上,持有至2025-07-10到期
8,2025-07-03,买入,2,002636,PCB概念,10.392,3100,32216.69,257.73,,,812.34,108554.19,站上,持有至2025-07-10到期
9,2025-07-03,买入,3,002938,同花顺果指数,36.026,900,32423.33,259.39,,,2303.54,108296.86,站上,持有至2025-07-10到期
10,2025-07-10,卖出,1,600601,PCB概念,5.535,7300,40408.13,323.27,-1.76,-725.33,40655.11,165771.99,站上,到期
11,2025-07-10,卖出,2,002636,PCB概念,15.029,3100,46589.28,372.71,44.61,14372.59,47401.62,171813.27,站上,到期
12,2025-07-10,卖出,3,002938,同花顺果指数,39.363,900,35426.3,283.41,9.26,3002.98,37729.85,161498.58,站上,到期
13,2025-07-10,买入,1,600111,稀土永磁,27.226,1400,38116.51,304.93,,,2538.6,125484.06,站上,持有至2025-07-17到期
14,2025-07-10,买入,2,002657,Web3.0,32.044,1400,44862.05,358.9,,,2539.57,125128.02,站上,持有至2025-07-17到期
