代码,买入日,收益%,退出,流通市值(元),股息率%,市值百分秩,股息百分秩,市值组,股息组,市值五分位,股息五分位
000683,2024-11-25,-1.22,到期,22159811405.25,0.7,88.5,47.5,大盘,低红利,5,3
000657,2025-01-08,6.25,到期,11150943684.78,0.22,77.4,14.4,大盘,低红利,4,1
002380,2025-01-09,35.42,到期,2499085820.7,0.7,25.6,47.5,小盘,低红利,2,3
000523,2025-01-10,8.47,到期,4041738469.7,0.27,45.6,18.4,小盘,低红利,3,1
002801,2025-10-17,2.29,到期,4182793524.0,1.45,35.3,76.6,小盘,高红利,2,4
002345,2025-10-23,-5.45,到期,12367558465.9,1.94,72.8,86.7,大盘,高红利,4,5
002736,2025-11-21,-0.3,到期,134093389809.15,2.36,98.0,91.3,大盘,高红利,5,5
002550,2025-11-27,-6.85,到期,8734708870.4,1.91,63.0,86.3,大盘,高红利,4,5
001696,2025-12-18,10.36,到期,20101029973.75,1.43,83.7,76.0,大盘,高红利,5,4
002345,2026-03-03,-8.18,到期,9895087054.65,1.94,63.8,86.7,大盘,高红利,4,5
002518,2026-03-17,-2.39,到期,32478391953.91,1.21,88.5,69.3,大盘,高红利,5,4
600114,2026-03-19,8.6,到期,21400834321.44,1.67,82.3,81.9,大盘,高红利,5,5
000021,2026-03-31,10.7,到期,52633498734.0,1.03,93.4,62.8,大盘,高红利,5,4
