代码,信号日,收盘价,距60高回撤%,RSI,ROE%,净利同比%,PE,PB,评分,热门题材
000430,2026-07-15,6.19,-29.26,31.1,69.14,1079.33,4.1,2.76,45.21,
002379,2026-07-10,14.45,-50.56,31.6,13.81,37.56,7.0,3.6,35.86,
603626,2026-07-15,15.27,-47.33,28.5,18.5,512.7763077869,5.5,3.72,35.8,
002640,2026-07-13,2.79,-40.13,34.1,28.36,4144.8,6.8,6.75,35.42,
002795,2026-07-14,5.95,-44.91,31.2,16.48,446.87,9.9,5.89,33.54,
000973,2026-07-14,11.72,-47.3,32.5,10.94,2694.74,7.7,3.15,32.75,
002259,2026-07-14,3.69,-41.05,34.3,18.35,576.67,9.0,6.06,31.97,
000426,2026-07-13,30.45,-42.21,34.0,13.17,257.32,10.1,4.99,30.59,
000975,2026-07-02,18.04,-44.13,34.9,8.93,100.89,9.0,3.08,30.05,
603399,2026-07-15,14.26,-44.12,33.6,8.53,549.2412322595,13.7,4.51,29.89,
000981,2026-07-15,2.56,-44.1,30.1,8.42,208.94,24.1,8.26,29.83,
605599,2026-07-09,13.53,-42.89,33.3,8.19,24.62,6.6,2.08,29.01,
002709,2026-07-15,37.55,-42.21,29.9,8.84,1005.75,11.4,4.01,28.86,
000807,2026-07-02,21.77,-40.28,32.7,10.64,269.45,5.2,2.12,28.42,
001337,2026-07-02,37.46,-38.3,32.6,13.51,176.93,14.9,7.48,28.38,
000933,2026-07-09,21.35,-38.68,34.2,8.9,223.28,5.2,1.79,26.77,
605117,2026-07-15,85.4,-32.7,33.6,10.87,68.37,16.3,6.72,23.97,
600221,2026-07-13,1.31,-20.61,31.7,28.1,533.63,8.2,8.14,23.6,
002027,2026-07-09,4.74,-26.85,34.7,12.13,57.65,9.6,4.43,20.96,
002847,2026-07-14,44.09,-27.57,32.8,10.97,29.48,13.0,5.54,20.93,
000737,2026-07-13,11.84,-28.24,33.5,8.65,65.74,9.2,3.03,20.41,
603066,2026-07-15,9.41,-23.72,34.2,8.46,283.5,5.5,1.81,17.62,
