#,代码,买入日,买价,卖出日,卖价,收益%,股数,持有日,退出,ROE%,净利同比%,PE,PB
1,000683,2024-11-25,5.38,2024-12-23,5.32,-1.22,6100,20,到期,12.87,19.84,8.173469387755102,1.3832114789093002
2,000657,2025-01-08,8.73,2025-02-13,9.28,6.25,3800,20,到期,12.84,17.47,18.041666666666668,1.5513310908817484
3,002380,2025-01-09,17.53,2025-02-14,23.74,35.42,1800,20,到期,12.02,56.64,16.561904761904763,1.873235876021574
4,000523,2025-01-10,2.76,2025-02-17,3.0,8.47,12600,20,到期,30.51,585.58,9.678558813140233,2.552036198525748
5,002801,2025-10-17,32.53,2025-11-14,33.27,2.29,1100,20,到期,16.57,25.29,19.05708661417323,4.029859838748465
6,001696,2025-12-18,20.58,2026-01-19,22.72,10.36,1800,20,到期,14.31,93.7,23.14492972646215,4.264356292015701
7,002345,2026-03-03,11.13,2026-03-31,10.22,-8.18,3600,20,到期,13.73,156.66,19.71428571428571,2.60615543009851
8,002518,2026-03-17,48.07,2026-04-15,46.92,-2.39,800,20,到期,13.36,54.97,45.41904761904762,5.752335801463165
9,600114,2026-03-19,28.73,2026-04-17,31.2,8.6,1400,20,到期,17.64,34.95,33.139534883720934,5.288363971684059
10,000021,2026-03-31,26.0,2026-04-29,28.78,10.7,1400,20,到期,9.09,22.07,35.562603419746274,3.098983577976051
