#,代码,买入日,买价,卖出日,卖价,收益%,股数,持有日,退出,ROE%,净利同比%,PE,PB
1,000683,2024-11-25,5.38,2024-12-23,5.32,-1.22,6100,20,到期,12.87,19.84,8.173469387755102,1.3832114789093002
2,000657,2025-01-08,8.73,2025-02-13,9.28,6.25,3800,20,到期,12.84,17.47,18.041666666666668,1.5513310908817484
3,002380,2025-01-09,17.53,2025-02-14,23.74,35.42,1800,20,到期,12.02,56.64,16.561904761904763,1.873235876021574
4,000523,2025-01-10,2.76,2025-02-17,3.0,8.47,12600,20,到期,30.51,585.58,9.678558813140233,2.552036198525748
5,002801,2025-10-17,32.53,2025-11-14,33.27,2.29,1100,20,到期,16.57,25.29,19.05708661417323,4.029859838748465
6,001696,2025-12-18,20.58,2026-01-19,22.72,10.36,1800,20,到期,14.31,93.7,23.14492972646215,4.264356292015701
7,002345,2026-03-03,11.13,2026-03-13,10.22,-8.18,3600,8,止损,13.73,156.66,19.71428571428571,2.60615543009851
8,000737,2026-03-17,14.61,2026-03-20,13.37,-8.45,2600,3,止损,12.18,29.01,34.915662650602414,4.0651944716076125
9,002871,2026-03-20,17.69,2026-03-23,16.02,-9.44,1900,1,止损,13.77,2.56,29.74576271186441,3.8549769273453975
10,002518,2026-03-17,48.07,2026-03-23,44.04,-8.38,800,4,止损,13.36,54.97,45.41904761904762,5.752335801463165
11,600114,2026-03-19,28.73,2026-03-23,26.23,-8.7,1400,2,止损,17.64,34.95,33.139534883720934,5.288363971684059
12,002778,2026-03-23,18.5,2026-04-21,20.24,9.41,1800,20,到期,25.45,143.3,31.101694915254242,7.010169337840679
13,002860,2026-03-23,12.24,2026-04-21,13.41,9.62,2800,20,到期,9.36,38.86,20.931034482758623,1.9060407749137045
14,000612,2026-03-24,11.37,2026-04-22,13.06,14.86,3200,20,到期,16.0,81.95,12.561247216035634,1.8701976727737433
