代码,买入日期,买入价,股数,卖出日期,卖出价,收益%,盈亏元,市况,退出原因,持有交易日,距60高回撤%,MA60乖离%,RSI
600114,2024-11-27,15.86,1200,2024-12-11,17.06,7.61,1448.0,牛市,到期,10,-20.8,-2.8,30.2
600189,2024-11-27,7.42,2700,2024-12-11,8.33,12.32,2468.0,牛市,到期,10,-24.0,-4.6,20.5
601878,2024-11-27,12.29,1600,2024-12-11,12.57,2.29,450.0,牛市,到期,10,-22.5,-1.0,18.4
002875,2024-11-28,14.63,1400,2024-12-12,15.44,5.53,1133.0,牛市,到期,10,-34.8,-5.3,25.6
600552,2024-11-28,12.3,1600,2024-12-12,12.44,1.16,227.0,牛市,到期,10,-26.7,-3.1,34.8
600416,2024-12-12,11.73,1800,2024-12-26,10.75,-8.35,-1764.0,牛市,到期,10,-23.7,-4.3,22.8
000792,2024-12-19,17.03,1200,2025-01-03,16.21,-4.79,-979.0,牛市,到期,10,-18.6,-4.8,30.2
600745,2024-12-19,36.28,500,2025-01-03,33.18,-8.53,-1548.0,牛市,到期,10,-29.4,-3.8,24.3
000503,2024-12-20,12.61,1800,2025-01-06,9.88,-21.65,-4914.0,牛市,到期,10,-27.9,-2.1,29.4
002654,2024-12-20,13.61,1700,2025-01-06,10.92,-19.74,-4566.0,牛市,到期,10,-31.9,-0.8,26.9
000546,2024-12-26,4.92,3900,2025-01-10,4.41,-10.26,-1968.0,牛市,到期,10,-29.8,-13.8,27.8
000612,2025-01-03,6.46,2800,2025-01-17,7.06,9.31,1685.0,熊市,到期,10,-21.7,-6.0,31.6
002155,2025-01-03,12.74,1400,2025-01-17,13.05,2.42,432.0,熊市,到期,10,-25.4,-2.8,31.8
000078,2025-01-06,2.56,7100,2025-01-20,2.47,-3.52,-641.0,熊市,到期,10,-20.4,-8.9,30.4
000518,2025-01-06,2.66,7000,2025-01-20,2.52,-5.32,-990.0,熊市,到期,10,-33.8,-13.3,27.4
000789,2025-01-10,4.81,3500,2025-01-24,4.8,-0.14,-24.0,熊市,到期,10,-20.1,-8.8,33.3
000014,2025-01-17,10.39,1800,2025-02-10,10.65,2.52,471.0,熊市,到期,10,-25.7,-11.4,30.1
000402,2025-01-17,3.22,6100,2025-02-10,3.16,-1.59,-311.0,熊市,到期,10,-32.3,-12.6,31.0
000009,2025-01-20,8.76,2000,2025-02-11,8.32,-4.98,-873.0,熊市,到期,10,-21.4,-9.2,25.2
000029,2025-01-20,14.5,1200,2025-02-11,15.13,4.37,760.0,熊市,到期,10,-24.9,-9.3,30.8
002494,2025-01-24,4.06,4200,2025-02-17,4.25,4.52,771.0,熊市,到期,10,-18.1,-2.3,31.5
603682,2025-02-10,5.2,3700,2025-02-24,5.55,6.61,1273.0,牛市,到期,10,-39.1,-2.9,19.9
002310,2025-02-11,1.79,10000,2025-02-25,1.68,-6.56,-1178.0,牛市,到期,10,-33.3,-13.3,33.3
002742,2025-02-11,3.58,5000,2025-02-25,3.58,0.02,4.0,牛市,到期,10,-29.7,-12.1,30.7
603868,2025-02-12,36.03,500,2025-02-26,34.58,-4.01,-722.0,牛市,到期,10,-29.9,-11.1,29.2
000525,2025-02-17,5.78,3100,2025-03-03,5.62,-2.62,-469.0,牛市,到期,10,-39.1,-19.5,29.3
600029,2025-02-24,5.9,3500,2025-03-10,5.84,-0.91,-189.0,牛市,到期,10,-21.9,-8.4,33.7
002718,2025-02-26,13.83,1200,2025-03-12,13.83,-0.01,-2.0,牛市,到期,10,-26.9,-2.2,4.2
000061,2025-02-27,6.28,2800,2025-03-13,6.07,-3.32,-585.0,牛市,到期,10,-21.7,-9.7,32.9
000809,2025-02-27,2.8,6300,2025-03-13,3.26,16.47,2907.0,牛市,到期,10,-23.8,-7.7,33.3
000061,2025-03-03,6.24,2800,2025-03-17,6.32,1.27,223.0,牛市,到期,10,-22.2,-9.7,22.0
000518,2025-03-10,2.3,8900,2025-03-24,2.24,-2.45,-501.0,牛市,到期,10,-40.5,-15.5,29.5
000972,2025-03-12,3.22,5200,2025-03-26,3.16,-1.59,-265.0,牛市,到期,10,-20.2,-0.9,25.9
002390,2025-03-13,3.9,4800,2025-03-27,3.74,-4.13,-774.0,牛市,到期,10,-19.2,-5.1,20.9
002849,2025-03-13,16.91,1100,2025-03-27,15.54,-8.1,-1507.0,牛市,到期,10,-19.9,-1.5,33.8
600692,2025-03-17,7.63,2300,2025-03-31,7.89,3.35,588.0,牛市,到期,10,-27.9,-11.2,34.0
600418,2025-03-25,33.04,600,2025-04-09,30.42,-7.92,-1571.0,牛市,到期,10,-26.8,-11.3,33.5
002400,2025-03-26,8.23,2000,2025-04-10,6.84,-16.9,-2781.0,牛市,到期,10,-19.6,-5.1,30.4
002095,2025-03-27,17.99,900,2025-04-11,15.9,-11.62,-1882.0,牛市,到期,10,-22.5,-5.3,30.4
600556,2025-03-27,5.18,3700,2025-04-11,4.51,-12.88,-2470.0,牛市,到期,10,-26.1,-5.6,32.6
002279,2025-03-31,6.6,2700,2025-04-15,6.63,0.37,65.0,牛市,到期,10,-25.6,-4.8,19.5
000833,2025-04-09,11.1,1600,2025-04-23,11.72,5.65,1004.0,熊市,到期,10,-30.1,-11.0,33.0
002172,2025-04-10,3.24,4500,2025-04-24,3.49,7.92,1153.0,熊市,到期,10,-22.7,-5.3,31.5
000680,2025-04-11,8.72,1700,2025-04-25,9.02,3.53,524.0,熊市,到期,10,-20.0,-9.5,32.5
001339,2025-04-11,46.54,300,2025-04-25,47.0,0.99,138.0,熊市,到期,10,-30.7,-2.6,30.7
001277,2025-04-15,34.06,500,2025-04-29,37.73,10.76,1833.0,熊市,到期,10,-18.4,-8.6,33.6
000039,2025-04-23,7.49,2900,2025-05-12,7.75,3.58,777.0,熊市,到期,10,-25.6,-7.9,27.4
002645,2025-04-29,7.39,2100,2025-05-16,8.2,11.03,1712.0,熊市,到期,10,-28.6,-4.7,30.7
603330,2025-04-29,6.57,2400,2025-05-16,6.75,2.64,416.0,熊市,到期,10,-28.5,-13.3,26.1
000785,2025-04-30,3.34,4900,2025-05-19,3.39,1.68,275.0,熊市,到期,10,-40.6,-21.4,21.9
000816,2025-04-30,3.06,5400,2025-05-19,3.19,4.24,702.0,熊市,到期,10,-34.6,-11.8,19.2
601116,2025-05-14,11.03,2000,2025-05-28,10.56,-4.2,-925.0,牛市,到期,10,-28.8,-5.0,31.9
002629,2025-05-16,4.94,3400,2025-05-30,4.92,-0.38,-64.0,牛市,到期,10,-19.7,-5.3,28.7
600419,2025-05-16,9.67,1700,2025-05-30,9.76,0.98,161.0,牛市,到期,10,-19.1,-4.6,28.2
605300,2025-05-19,13.87,1200,2025-06-03,14.73,6.21,1033.0,牛市,到期,10,-25.1,-3.1,27.0
002707,2025-05-20,7.84,2300,2025-06-04,7.55,-3.74,-674.0,牛市,到期,10,-21.0,-3.9,28.3
000056,2025-05-28,3.17,6600,2025-06-12,3.11,-1.59,-332.0,牛市,到期,10,-23.0,-6.5,34.4
603887,2025-05-30,17.42,900,2025-06-16,16.57,-4.89,-767.0,牛市,到期,10,-28.6,-8.6,33.2
000032,2025-06-03,19.78,800,2025-06-17,19.05,-3.69,-584.0,牛市,到期,10,-29.4,-12.4,25.3
002093,2025-06-03,10.95,1800,2025-06-17,11.36,3.76,741.0,牛市,到期,10,-31.1,-3.8,31.1
000815,2025-06-04,12.22,1400,2025-06-18,12.26,0.36,62.0,牛市,到期,10,-30.6,-6.5,18.9
603416,2025-06-12,54.01,300,2025-06-26,52.75,-2.34,-380.0,牛市,到期,10,-22.1,-2.3,27.2
000422,2025-06-17,12.13,1500,2025-07-01,11.76,-3.06,-557.0,牛市,到期,10,-26.2,-2.8,28.5
600480,2025-06-17,11.24,1600,2025-07-01,11.79,4.91,883.0,牛市,到期,10,-24.7,-7.0,26.9
002434,2025-06-18,6.89,2600,2025-07-02,7.23,4.89,876.0,牛市,到期,10,-27.7,-6.4,32.0
003021,2025-06-18,101.02,100,2025-07-02,103.5,2.45,247.0,牛市,到期,10,-32.9,-13.6,32.8
000510,2025-06-27,5.1,4700,2025-07-11,5.07,-0.61,-147.0,牛市,到期,10,-29.2,-1.6,18.2
002299,2025-07-01,14.31,1200,2025-07-15,15.87,10.96,1882.0,牛市,到期,10,-18.8,-6.4,26.5
002688,2025-07-01,6.26,3000,2025-07-15,6.64,6.02,1130.0,牛市,到期,10,-27.7,-3.6,30.9
000876,2025-07-02,9.49,1500,2025-07-16,9.58,0.92,131.0,牛市,到期,10,-20.6,-2.9,34.9
002251,2025-07-02,4.96,3100,2025-07-16,4.9,-1.19,-183.0,牛市,到期,10,-35.3,-6.1,34.2
600988,2025-07-11,24.48,900,2025-07-25,23.56,-3.78,-832.0,牛市,到期,10,-25.3,-9.0,25.8
001212,2025-07-17,38.48,400,2025-07-31,40.6,5.53,851.0,牛市,到期,10,-33.7,-13.8,26.5
002946,2025-07-17,17.28,1000,2025-07-31,16.08,-6.93,-1197.0,牛市,到期,10,-19.0,-3.8,29.8
002977,2025-07-17,36.49,500,2025-07-31,35.89,-1.64,-300.0,牛市,到期,10,-25.9,-3.0,34.5
000967,2025-07-18,6.26,3100,2025-08-01,6.77,8.06,1565.0,牛市,到期,10,-20.0,-3.0,25.7
002355,2025-07-25,6.57,3200,2025-08-08,6.45,-1.89,-397.0,牛市,到期,10,-21.4,-9.1,15.2
603102,2025-08-04,43.08,400,2025-08-18,42.53,-1.29,-222.0,牛市,到期,10,-20.5,-0.6,33.4
603900,2025-08-04,9.92,1800,2025-08-18,10.1,1.81,324.0,牛市,到期,10,-33.9,-8.4,31.0
002365,2025-08-05,20.26,900,2025-08-19,20.38,0.57,103.0,牛市,到期,10,-37.3,-11.4,25.5
600770,2025-08-05,5.49,3300,2025-08-19,5.69,3.65,662.0,牛市,到期,10,-27.8,-0.8,31.5
000520,2025-08-08,4.85,4200,2025-08-22,4.94,1.89,385.0,牛市,到期,10,-19.6,-3.6,32.8
000701,2025-08-18,6.2,2800,2025-09-01,6.0,-3.19,-553.0,牛市,到期,10,-26.3,-3.4,19.3
605388,2025-08-18,7.67,2300,2025-09-01,7.96,3.71,655.0,牛市,到期,10,-37.9,-8.9,27.1
603883,2025-08-19,18.79,1000,2025-09-02,17.36,-7.61,-1429.0,牛市,到期,10,-18.1,-5.1,31.7
605388,2025-08-19,7.77,2400,2025-09-02,8.0,2.88,537.0,牛市,到期,10,-37.1,-7.9,32.0
002989,2025-08-22,30.49,600,2025-09-05,37.45,22.81,4174.0,牛市,到期,10,-20.4,-8.6,33.5
600798,2025-09-02,4.04,4500,2025-09-16,4.06,0.38,68.0,牛市,到期,10,-22.0,-5.5,33.3
601008,2025-09-02,5.99,3100,2025-09-16,5.82,-2.75,-510.0,牛市,到期,10,-28.7,-6.5,31.3
002365,2025-09-04,19.13,900,2025-09-18,17.99,-5.94,-1023.0,牛市,到期,10,-40.8,-17.6,29.3
003001,2025-09-04,26.27,700,2025-09-18,24.45,-6.91,-1271.0,牛市,到期,10,-29.9,-6.6,34.3
600927,2025-09-05,15.26,1600,2025-09-19,14.78,-3.15,-769.0,牛市,到期,10,-19.8,-2.0,31.5
002259,2025-09-16,4.26,4200,2025-09-30,4.05,-5.08,-909.0,牛市,到期,10,-21.4,-2.1,20.5
600644,2025-09-16,11.66,1500,2025-09-30,10.71,-8.14,-1423.0,牛市,到期,10,-34.6,-15.2,18.9
002857,2025-09-18,25.02,600,2025-10-10,24.52,-1.98,-298.0,牛市,到期,10,-20.4,-1.1,22.9
600391,2025-09-18,26.55,700,2025-10-10,27.85,4.88,906.0,牛市,到期,10,-25.2,-9.8,19.1
600435,2025-09-19,14.33,1600,2025-10-13,15.26,6.44,1477.0,牛市,到期,10,-22.3,-8.7,21.1
002174,2025-09-30,11.68,1400,2025-10-22,12.88,10.22,1671.0,牛市,到期,10,-36.1,-18.3,21.2
002235,2025-09-30,7.35,2400,2025-10-22,7.34,-0.1,-18.0,牛市,到期,10,-28.5,-11.3,23.1
000720,2025-10-10,3.37,5100,2025-10-24,3.45,2.54,436.0,牛市,到期,10,-19.3,-6.7,34.0
000989,2025-10-10,9.92,1700,2025-10-24,9.73,-1.89,-318.0,牛市,到期,10,-26.0,-12.2,23.2
000501,2025-10-13,9.71,2500,2025-10-27,9.85,1.45,351.0,牛市,到期,10,-25.3,-6.7,13.0
000610,2025-10-22,12.47,1400,2025-11-05,12.4,-0.55,-97.0,牛市,到期,10,-24.3,-6.2,24.7
002520,2025-10-22,5.98,3100,2025-11-05,6.03,0.9,167.0,牛市,到期,10,-22.3,-11.2,25.7
000034,2025-10-24,39.77,400,2025-11-07,43.83,10.21,1624.0,牛市,到期,10,-20.1,-7.4,30.8
