序号,调仓日,代码,名称行业,买入价,投入资金,前向收益%,持有天数,退出原因,退出日,盈亏元,账户净值,备注
1,2025-07-01,,,,,,,,,,100000.0,无合格标的(候选0)
2,2025-07-04,600016,高股息精选,4.892,33333.33,2.88,3,Adaptive_RSI(83),2025-07-09,959.83,100374.07,等权1/3仓
3,2025-07-04,600919,其它,11.995,33333.33,-2.3,2,Adaptive_MA5,2025-07-08,-766.88,100374.07,等权1/3仓
4,2025-07-04,601398,其它,7.444,33333.33,0.54,3,Time_Exit,2025-07-09,181.12,100374.07,等权1/3仓
5,2025-07-09,002640,拼多多概念,5.45,100374.07,5.2,1,Adaptive_TP(2%),2025-07-10,5219.45,105593.52,等权1/1仓
6,2025-07-14,002916,PCB概念,123.98,105593.52,5.2,1,Adaptive_TP(2%),2025-07-15,5490.86,111084.39,等权1/1仓
7,2025-07-17,002938,同花顺果指数,45.94,37028.13,2.51,1,Adaptive_Bias(29%),2025-07-18,928.91,114962.0,等权1/3仓
8,2025-07-17,603228,其它,53.2,37028.13,6.2,1,Adaptive_TP(8%),2025-07-18,2295.74,114962.0,等权1/3仓
9,2025-07-17,600183,PCB概念,37.06,37028.13,1.76,2,Adaptive_Bias(19%),2025-07-21,652.96,114962.0,等权1/3仓
10,2025-07-22,603993,其它,9.06,38320.67,0.86,3,Time_Exit,2025-07-25,327.88,113272.22,等权1/3仓
11,2025-07-22,000933,俄乌冲突概念,19.39,38320.67,-2.5,3,Time_Exit,2025-07-25,-958.75,113272.22,等权1/3仓
12,2025-07-22,002271,冰雪产业,11.715,38320.67,-2.76,3,Time_Exit,2025-07-25,-1058.91,113272.22,等权1/3仓
13,2025-07-25,002371,国家大基金持股,341.96,113272.22,1.32,3,Time_Exit,2025-07-30,1492.03,114764.25,等权1/1仓
14,2025-07-30,,,,,,,,,,114764.25,无合格标的(候选0)
15,2025-08-04,002049,汽车芯片,73.98,114764.25,2.88,3,Time_Exit,2025-08-07,3301.39,118065.64,等权1/1仓
16,2025-08-07,002896,减速器,102.97,39355.21,-4.8,1,Adaptive_SL(4%),2025-08-08,-1889.05,114598.15,等权1/3仓
17,2025-08-07,002008,光纤概念,29.13,39355.21,-2.8,1,Adaptive_SL(2%),2025-08-08,-1101.95,114598.15,等权1/3仓
18,2025-08-07,601225,其它,21.911,39355.21,-1.21,3,Time_Exit,2025-08-12,-476.49,114598.15,等权1/3仓
19,2025-08-12,,,,,,,,,,114598.15,无合格标的(候选0)
20,2025-08-15,600839,其它,10.46,114598.15,5.2,2,Adaptive_TP(2%),2025-08-19,5959.1,120557.25,等权1/1仓
21,2025-08-20,600584,其它,37.67,40185.75,-3.77,1,Adaptive_MA5,2025-08-21,-1516.28,122161.93,等权1/3仓
