#,代码,买入日,买价,卖出日,卖价,收益%,持有日,退出
1,002001,2024-08-09,21.68,2024-08-09,19.84,-8.5,0,止损
2,002304,2024-09-30,90.94,2024-10-09,83.07,-8.66,2,止损
3,000651,2024-10-08,49.13,2024-10-09,43.59,-11.28,1,止损
4,002594,2024-09-26,87.37,2024-10-31,95.63,9.46,20,到期
5,002423,2024-11-12,18.57,2024-11-12,17.49,-5.81,0,止损
6,000858,2024-11-14,145.95,2024-11-22,135.47,-7.17,6,止损
7,002850,2024-12-12,105.5,2024-12-17,99.24,-5.93,3,止损
8,002588,2024-11-27,7.33,2024-12-25,7.18,-2.13,20,到期
9,002895,2024-11-29,20.73,2024-12-27,22.46,8.37,20,到期
10,002980,2025-03-20,20.88,2025-03-21,19.49,-6.68,1,止损
11,002980,2025-03-26,19.39,2025-03-31,18.23,-5.98,3,止损
12,002206,2025-03-27,5.06,2025-04-02,4.76,-5.9,4,止损
13,000951,2025-03-26,18.58,2025-04-16,17.06,-8.21,14,止损
14,000600,2025-07-08,7.76,2025-07-25,7.23,-6.83,13,止损
15,000878,2025-07-30,13.76,2025-07-31,12.85,-6.63,1,止损
16,002027,2025-07-08,7.37,2025-08-05,7.57,2.72,20,到期
17,002714,2025-07-10,45.44,2025-08-07,45.39,-0.12,20,到期
18,002050,2025-08-18,28.88,2025-09-15,35.26,22.08,20,到期
19,002801,2025-09-23,37.23,2025-10-13,33.94,-8.84,8,止损
20,001337,2025-10-17,30.94,2025-10-20,27.67,-10.57,1,止损
21,000792,2025-10-10,22.46,2025-11-07,25.18,12.11,20,到期
22,002611,2025-11-04,20.48,2025-11-12,18.83,-8.08,6,止损
23,000920,2025-11-03,13.66,2025-11-18,12.87,-5.8,11,止损
24,001316,2025-12-25,38.3,2026-01-26,47.32,23.53,20,到期
25,002345,2026-02-12,14.01,2026-02-24,12.38,-11.64,2,止损
26,002463,2026-02-26,79.62,2026-03-06,74.81,-6.05,6,止损
27,002080,2026-03-05,48.27,2026-03-06,44.63,-7.55,1,止损
28,002831,2026-03-12,35.95,2026-03-23,32.04,-10.86,7,止损
