,hist_vol_20,hist_vol_60,hist_vol_ratio,atr_pct_14,boll_width_20,boll_pctb_20,turn_chg_5,turn_zscore_20,turn_ma_ratio,turn_rank_60,mfi_14,obv,obv_ma_ratio,cmf_20,main_flow_ratio,rsi_14_imp,macd_hist_slope,kdj_k,kdj_d,kdj_j,bias_60
hist_vol_20,1.0,0.8565713518604261,0.4090177687917602,0.5869688748461729,0.6081842254947679,0.07410508140908151,,,,,0.08619452067521771,0.021086113961823357,0.00032287842275450964,0.04594205050412734,-0.019850195735322828,0.14076837305357479,-0.04651504261130176,0.004824115139639411,0.029622703572231835,-0.02439885447904311,0.35351476590555125
hist_vol_60,0.8565713518604261,1.0,-0.00132483274012737,0.5363914474698499,0.5390484733853742,0.014895673934610344,,,,,0.03997842572473154,0.0315218027767495,-0.00019347825129173725,-0.017516250230975985,-0.03449327050321304,0.06614665412254733,-0.024834253748794426,-0.03301869806743948,-0.026515040048639988,-0.03409228082027166,0.24938598890352703
hist_vol_ratio,0.4090177687917602,-0.00132483274012737,1.0,0.3272900317956466,0.35768079089810456,0.15837746682942522,,,,,0.15179714830102084,0.004484517945424728,0.0004526980687648798,0.13174165956931796,-0.0002567654876248517,0.25838769188885413,-0.04953843149477585,0.06218346216319328,0.11156238589835822,-0.006195238532175602,0.3103815672710149
atr_pct_14,0.5869688748461729,0.5363914474698499,0.3272900317956466,1.0,0.6499656098843902,0.009948058221506503,,,,,0.06819017035702023,0.013640227368277242,0.00026021390932009304,0.004700615840655869,-0.09668686588057021,0.0536968900150903,-0.08651276482496675,-0.07683626842192189,-0.0253806362991554,-0.12082358478237723,0.1758005679735451
boll_width_20,0.6081842254947679,0.5390484733853742,0.35768079089810456,0.6499656098843902,1.0,0.08095481862228379,,,,,0.06010362901605896,0.029149706458859444,0.00021646557854982995,0.06248042208378278,-0.0007810452645393174,0.12579606646074576,-0.04300744086868073,0.021520893265116997,0.04383048366767655,-0.008083001315756608,0.3555576214617014
boll_pctb_20,0.07410508140908151,0.014895673934610344,0.15837746682942522,0.009948058221506503,0.08095481862228379,1.0,,,,,0.68301987427402,0.020388731545485126,0.0019081442472793128,0.4857132477367817,0.5261295740650869,0.8680843779850019,0.14505597811365464,0.8268096109837724,0.7552341637213427,0.7495196448288284,0.5384759217200653
turn_chg_5,,,,,,,,,,,,,,,,,,,,,
turn_zscore_20,,,,,,,,,,,,,,,,,,,,,
turn_ma_ratio,,,,,,,,,,,,,,,,,,,,,
turn_rank_60,,,,,,,,,,,,,,,,,,,,,
mfi_14,0.08619452067521771,0.03997842572473154,0.15179714830102084,0.06819017035702023,0.06010362901605896,0.68301987427402,,,,,1.0,0.031130061629194666,0.0021685164942499974,0.4686955160119297,0.30204013350190806,0.702489256640745,0.00015332874777206063,0.6395475525488978,0.7105752679529305,0.43552793073561447,0.47594211094700906
obv,0.021086113961823357,0.0315218027767495,0.004484517945424728,0.013640227368277242,0.029149706458859444,0.020388731545485126,,,,,0.031130061629194666,1.0,0.0003436980146357255,0.018894527174382617,0.008005530013577856,0.03479354650732339,-0.000582161891146196,0.017831838542463924,0.020417268019660085,0.011437159865867245,0.0478726198100863
obv_ma_ratio,0.00032287842275450964,-0.00019347825129173725,0.0004526980687648798,0.00026021390932009304,0.00021646557854982995,0.0019081442472793128,,,,,0.0021685164942499974,0.0003436980146357255,1.0,0.0012967943817691055,0.0003875887408354799,0.001272022491488328,-0.0001904372588939942,0.0016157351500049326,0.0018533427543004717,0.0010338186838403614,0.0008304882926500198
cmf_20,0.04594205050412734,-0.017516250230975985,0.13174165956931796,0.004700615840655869,0.06248042208378278,0.4857132477367817,,,,,0.4686955160119297,0.018894527174382617,0.0012967943817691055,1.0,0.5070112118852061,0.5508672859969553,-0.0004751017536426861,0.5056807830547242,0.5566980215094961,0.350207092123754,0.4333585628262101
main_flow_ratio,-0.019850195735322828,-0.03449327050321304,-0.0002567654876248517,-0.09668686588057021,-0.0007810452645393174,0.5261295740650869,,,,,0.30204013350190806,0.008005530013577856,0.0003875887408354799,0.5070112118852061,1.0,0.438619021011355,0.18118185596726263,0.5782545398146561,0.40468443706551493,0.6658433878549934,0.2633943500825447
rsi_14_imp,0.14076837305357479,0.06614665412254733,0.25838769188885413,0.0536968900150903,0.12579606646074576,0.8680843779850019,,,,,0.702489256640745,0.03479354650732339,0.001272022491488328,0.5508672859969553,0.438619021011355,1.0,0.08491869072112695,0.7525789938929835,0.7412902889053027,0.6206634678751419,0.7616187842908675
macd_hist_slope,-0.04651504261130176,-0.024834253748794426,-0.04953843149477585,-0.08651276482496675,-0.04300744086868073,0.14505597811365464,,,,,0.00015332874777206063,-0.000582161891146196,-0.0001904372588939942,-0.0004751017536426861,0.18118185596726263,0.08491869072112695,1.0,0.08243851018525086,-0.04170138872008539,0.20881825833222534,0.016008542770631885
kdj_k,0.004824115139639411,-0.03301869806743948,0.06218346216319328,-0.07683626842192189,0.021520893265116997,0.8268096109837724,,,,,0.6395475525488978,0.017831838542463924,0.0016157351500049326,0.5056807830547242,0.5782545398146561,0.7525789938929835,0.08243851018525086,1.0,0.9222851567660453,0.8965777522898963,0.4786650758301005
kdj_d,0.029622703572231835,-0.026515040048639988,0.11156238589835822,-0.0253806362991554,0.04383048366767655,0.7552341637213427,,,,,0.7105752679529305,0.020417268019660085,0.0018533427543004717,0.5566980215094961,0.40468443706551493,0.7412902889053027,-0.04170138872008539,0.9222851567660453,1.0,0.6557202803626803,0.5219634593501224
kdj_j,-0.02439885447904311,-0.03409228082027166,-0.006195238532175602,-0.12082358478237723,-0.008083001315756608,0.7495196448288284,,,,,0.43552793073561447,0.011437159865867245,0.0010338186838403614,0.350207092123754,0.6658433878549934,0.6206634678751419,0.20881825833222534,0.8965777522898963,0.6557202803626803,1.0,0.3371395355186135
bias_60,0.35351476590555125,0.24938598890352703,0.3103815672710149,0.1758005679735451,0.3555576214617014,0.5384759217200653,,,,,0.47594211094700906,0.0478726198100863,0.0008304882926500198,0.4333585628262101,0.2633943500825447,0.7616187842908675,0.016008542770631885,0.4786650758301005,0.5219634593501224,0.3371395355186135,1.0
