factor,horizon,IC,IR,IC_std,n_days,IC_pos_ratio
hist_vol_20,5,-0.08291429397824132,-0.41054898749536445,0.20195956169208315,1249,0.33706965572457964
hist_vol_60,5,-0.08742782236105028,-0.40367468277095253,0.21657989883646647,1249,0.33706965572457964
hist_vol_ratio,5,-0.025246218574386255,-0.17075539856281208,0.14785019165496005,1249,0.41793434747798236
atr_pct_14,5,-0.09094843613562804,-0.41330446647194224,0.22005190628274457,1249,0.33386709367493994
boll_width_20,5,-0.06902333775429641,-0.3387784517041189,0.2037418173095652,1249,0.3506805444355484
boll_pctb_20,5,0.006277325212931055,0.03332333289612779,0.18837627074022822,1249,0.49159327461969576
mfi_14,5,-0.005804151913197853,-0.03425517180447894,0.16943870292262772,1249,0.45476381104883906
obv,5,-0.014567897421356274,-0.0871620904419695,0.16713570384011328,1249,0.45716573258606885
obv_ma_ratio,5,-0.026735491107832493,-0.18700221048381588,0.14296884968182827,1249,0.40192153722978385
cmf_20,5,0.002058076598652892,0.012460532935821726,0.16516762138445698,1249,0.49639711769415534
main_flow_ratio,5,-0.0036317511881552604,-0.02205100621605893,0.16469775258869523,1249,0.47157726180944753
rsi_14_imp,5,-0.0003374821772002625,-0.0016693654684351877,0.20216194830437131,1249,0.4643714971977582
macd_hist_slope,5,0.008870712640458021,0.050775419097057406,0.17470486206576064,1249,0.533226581265012
kdj_k,5,0.016331916580182463,0.08391343982074059,0.19462813741348164,1249,0.5044035228182546
kdj_d,5,0.013583720371059406,0.07114523625707835,0.1909294425677405,1249,0.4851881505204163
kdj_j,5,0.01711396127767427,0.0912292595888761,0.18759289797559395,1249,0.5132105684547638
bias_60,5,0.0016162196726604958,0.007137708004566446,0.22643398475936383,1249,0.4811849479583667
hist_vol_20,10,-0.09528661644117961,-0.4805687523871557,0.19827884249087854,1234,0.3233387358184765
hist_vol_60,10,-0.10020105199740956,-0.4779026440244912,0.2096683346961602,1234,0.320097244732577
hist_vol_ratio,10,-0.03085322654406195,-0.2072227870371196,0.14888915827250435,1234,0.3946515397082658
atr_pct_14,10,-0.09967727197726561,-0.45975803379596447,0.2168037623932924,1234,0.3233387358184765
boll_width_20,10,-0.06899355345336965,-0.3563992117983647,0.19358503277499955,1234,0.3492706645056726
boll_pctb_20,10,0.003480558236636533,0.01963386973581484,0.17727316437541873,1234,0.4659643435980551
mfi_14,10,-0.007154409381011537,-0.043642988498838596,0.16393032611776662,1234,0.44165316045380876
obv,10,-0.01905616503962068,-0.11108088149801207,0.1715521579551098,1234,0.46353322528363045
obv_ma_ratio,10,-0.0300811902685952,-0.22310907576897207,0.1348272809692197,1234,0.3881685575364668
cmf_20,10,-0.004574514099980024,-0.02929997538861726,0.15612689123476878,1234,0.47163695299837927
main_flow_ratio,10,-0.0012181749152603346,-0.007670970834503325,0.15880322502467673,1234,0.49108589951377635
rsi_14_imp,10,-0.003574333179688423,-0.01859899867170543,0.1921787954384362,1234,0.46677471636953
macd_hist_slope,10,0.012614565217820109,0.07570325643587807,0.16663173733882375,1234,0.5372771474878444
kdj_k,10,0.014914063707156025,0.08293985305588163,0.1798178206822679,1234,0.5024311183144247
kdj_d,10,0.010143698339280532,0.05806870625104553,0.17468442016527944,1234,0.49513776337115073
kdj_j,10,0.019434651531825893,0.11075120796355405,0.17548026588992358,1234,0.5226904376012966
bias_60,10,-0.004070142595225071,-0.0184979739056545,0.22003180442820972,1234,0.47649918962722854
hist_vol_20,20,-0.12086016355398657,-0.5915269555261888,0.20431894410449863,1195,0.2828451882845188
hist_vol_60,20,-0.12306444795012104,-0.5907414805849494,0.20832200108501225,1195,0.2702928870292887
hist_vol_ratio,20,-0.043229527804472076,-0.2903525614921855,0.14888633078335348,1195,0.3472803347280335
atr_pct_14,20,-0.12017253624629748,-0.566210636275218,0.21223998275736133,1195,0.28619246861924685
boll_width_20,20,-0.0819724208112972,-0.4203413141793929,0.195013950867489,1195,0.3422594142259414
boll_pctb_20,20,-0.006046792757566096,-0.03828436501516299,0.15794418209331212,1195,0.46694560669456064
mfi_14,20,-0.012003315674296557,-0.07589905447535317,0.1581484207065499,1195,0.4635983263598326
obv,20,-0.024075475689642092,-0.14704658888741048,0.16372685503795964,1195,0.4326359832635983
obv_ma_ratio,20,-0.033389180493009686,-0.264270662704696,0.1263446342738736,1195,0.3698744769874477
cmf_20,20,-0.014017594516362078,-0.0911140021883518,0.15384676436746528,1195,0.4661087866108787
main_flow_ratio,20,-0.0034378873442440297,-0.023482136574032184,0.14640436614118388,1195,0.4903765690376569
rsi_14_imp,20,-0.0058993955437900225,-0.03675063707094482,0.16052498615604863,1195,0.47447698744769873
macd_hist_slope,20,0.009087343407919276,0.05678792473215719,0.16002245889407327,1195,0.5179916317991632
kdj_k,20,0.00598036873284495,0.03787581096733415,0.15789414252085282,1195,0.5062761506276151
kdj_d,20,0.0031297803615373174,0.019673003935115535,0.15909010907468885,1195,0.49456066945606697
kdj_j,20,0.009302644398023663,0.05940775593725377,0.15658972792107015,1195,0.5104602510460251
bias_60,20,-0.0023429768188934184,-0.012104466025728806,0.19356300408533572,1195,0.4702928870292887
