buy_date,sell_date,code,name,state,scale,buy_price,sell_price,hold_days,ret_pct,capital,pnl,reason
2026-01-06,2026-01-19,605069,正和生态,trend_up,1.0,15.18,14.4,10,-5.8,200000.0,-11600.0,expiry
2026-01-06,2026-01-19,002848,高斯贝尔,trend_up,1.0,9.9,11.93,10,19.66,200000.0,39329.0,expiry
2026-01-06,2026-01-19,600577,精达股份,trend_up,1.0,13.07,16.09,10,22.25,200000.0,44495.0,expiry
2026-01-06,2026-01-19,600487,亨通光电,trend_up,1.0,24.8,27.08,10,8.43,200000.0,16864.0,expiry
2026-01-06,2026-01-19,000551,创元科技,trend_up,1.0,14.5,15.78,10,8.07,200000.0,16137.0,expiry
2026-01-20,2026-01-26,600577,精达股份,trend_up,1.0,16.0,14.49,5,-10.07,200000.0,-20138.0,stop_loss
2026-01-20,2026-01-28,600215,派斯林,trend_up,1.0,7.96,7.24,7,-9.68,200000.0,-19359.0,stop_loss
2026-01-20,2026-02-02,000657,中钨高新,trend_up,1.0,40.3,45.6,10,12.36,200000.0,24724.0,expiry
2026-01-20,2026-02-02,002609,捷顺科技,trend_up,1.0,10.52,10.24,10,-3.34,200000.0,-6681.0,expiry
2026-01-20,2026-02-02,603488,展鹏科技,trend_up,1.0,10.3,9.83,10,-5.23,200000.0,-10458.0,expiry
2026-01-29,2026-02-02,002851,麦格米特,trend_up,1.0,135.1,120.99,3,-11.07,200000.0,-22138.0,stop_loss
2026-01-27,2026-02-09,000761,本钢板材,trend_up,1.0,3.67,3.77,10,2.01,200000.0,4016.0,expiry
2026-02-10,2026-02-12,603578,三星新材,trend_up,1.0,16.01,14.26,3,-11.55,200000.0,-23104.0,stop_loss
2026-02-03,2026-02-24,000592,平潭发展,trend_up,1.0,10.11,10.93,10,7.36,200000.0,14713.0,expiry
2026-02-03,2026-02-24,600519,贵州茅台,trend_up,1.0,1445.0,1466.8,10,0.8,200000.0,1601.0,expiry
2026-02-03,2026-02-24,601127,赛力斯,trend_up,1.0,105.02,108.04,10,2.16,200000.0,4316.0,expiry
2026-02-03,2026-02-24,600436,片仔癀,trend_up,1.0,160.4,166.33,10,2.97,200000.0,5947.0,expiry
2026-02-25,2026-03-03,603188,亚邦股份,trend_up,1.0,5.86,5.27,5,-10.7,200000.0,-21391.0,stop_loss
2026-02-13,2026-03-06,003035,南网能源,trend_up,1.0,6.7,8.71,10,29.09,200000.0,58186.0,expiry
2026-02-25,2026-03-10,600395,盘江股份,trend_up,1.0,5.88,5.96,10,0.65,200000.0,1307.0,expiry
2026-02-25,2026-03-10,603826,坤彩科技,trend_up,1.0,18.84,23.98,10,26.39,200000.0,52789.0,expiry
2026-02-25,2026-03-10,603776,永安行,trend_up,1.0,18.71,20.3,10,7.74,200000.0,15483.0,expiry
2026-03-12,2026-03-20,003001,中岩大地,trend_up,1.0,19.24,17.64,7,-8.96,200000.0,-17911.0,stop_loss
2026-03-11,2026-03-24,605377,华旺科技,high_vol,0.4,9.68,9.5,10,-2.54,200000.0,-5088.0,expiry
2026-03-11,2026-03-24,002422,科伦药业,high_vol,0.4,33.51,32.97,10,-2.3,200000.0,-4596.0,expiry
2026-03-12,2026-03-25,605377,华旺科技,trend_up,1.0,9.93,9.71,10,-2.9,200000.0,-5795.0,expiry
2026-03-12,2026-03-25,603738,泰晶科技,trend_up,1.0,22.8,25.38,10,10.54,200000.0,21079.0,expiry
2026-03-26,2026-04-09,000426,兴业银锡,high_vol,0.4,40.08,43.56,10,7.92,200000.0,15849.0,expiry
2026-03-26,2026-04-09,000960,锡业股份,high_vol,0.4,31.89,32.64,10,1.64,200000.0,3276.0,expiry
2026-04-10,2026-04-23,000818,航锦科技,high_vol,0.4,15.02,14.65,10,-3.14,200000.0,-6288.0,expiry
2026-04-10,2026-04-23,002800,天顺股份,high_vol,0.4,17.98,17.68,10,-2.35,200000.0,-4709.0,expiry
2026-04-24,2026-04-28,001270,铖昌科技,range,0.65,157.8,140.5,3,-11.58,200000.0,-23169.0,stop_loss
2026-04-22,2026-05-08,002384,东山精密,range,0.65,172.06,211.39,10,22.0,200000.0,44003.0,expiry
2026-04-24,2026-05-12,600487,亨通光电,range,0.65,68.0,75.1,10,9.67,200000.0,19342.0,expiry
2026-05-13,2026-05-13,002289,宇顺电子,range,0.65,48.54,44.6,1,-8.76,200000.0,-17516.0,stop_loss
2026-04-29,2026-05-15,603499,翔港科技,range,0.65,14.336,15.414,10,6.77,200000.0,13539.0,expiry
2026-05-11,2026-05-20,002289,宇顺电子,range,0.65,44.0,40.33,8,-8.98,200000.0,-17961.0,stop_loss
2026-05-14,2026-05-27,002384,东山精密,range,0.65,220.74,223.37,10,0.49,200000.0,971.0,expiry
2026-05-18,2026-05-29,601101,昊华能源,range,0.65,10.5,11.81,10,11.69,200000.0,23383.0,expiry
2026-05-21,2026-06-03,000858,五粮液,range,0.65,85.51,82.35,10,-4.37,200000.0,-8735.0,expiry
2026-05-28,2026-06-10,002342,巨力索具,range,0.65,11.544,10.26,10,-11.74,200000.0,-23485.0,stop_loss
2026-06-01,2026-06-10,002342,巨力索具,range,0.65,11.294,10.26,8,-9.79,200000.0,-19578.0,stop_loss
2026-06-04,2026-06-17,600629,华建集团,range,0.65,13.289,14.081,10,5.22,200000.0,10441.0,expiry
2026-06-18,2026-06-23,002235,安妮股份,trend_down,0.3,8.71,8.01,3,-8.68,200000.0,-17356.0,stop_loss
2026-06-11,2026-06-25,001337,四川黄金,trend_down,0.3,39.53,38.15,10,-4.16,200000.0,-8328.0,expiry
