buy_date,sell_date,code,name,state,scale,buy_price,sell_price,hold_days,ret_pct,capital,pnl,reason
2026-01-06,2026-01-19,605069,正和生态,trend_up,1.0,15.18,14.4,10,-5.8,200000.0,-11600.0,expiry
2026-01-06,2026-01-19,002848,高斯贝尔,trend_up,1.0,9.9,11.93,10,19.66,200000.0,39329.0,expiry
2026-01-06,2026-01-19,600577,精达股份,trend_up,1.0,13.07,16.09,10,22.25,200000.0,44495.0,expiry
2026-01-06,2026-01-19,600487,亨通光电,trend_up,1.0,24.8,27.08,10,8.43,200000.0,16864.0,expiry
2026-01-06,2026-01-19,000551,创元科技,trend_up,1.0,14.5,15.78,10,8.07,200000.0,16137.0,expiry
2026-01-20,2026-01-26,600577,精达股份,trend_up,1.0,16.0,14.49,5,-10.07,200000.0,-20138.0,stop_loss
2026-01-20,2026-01-28,600215,派斯林,trend_up,1.0,7.96,7.24,7,-9.68,200000.0,-19359.0,stop_loss
2026-01-20,2026-02-02,000657,中钨高新,trend_up,1.0,40.3,45.6,10,12.36,200000.0,24724.0,expiry
2026-01-20,2026-02-02,002609,捷顺科技,trend_up,1.0,10.52,10.24,10,-3.34,200000.0,-6681.0,expiry
2026-01-20,2026-02-02,603488,展鹏科技,trend_up,1.0,10.3,9.83,10,-5.23,200000.0,-10458.0,expiry
2026-01-29,2026-02-02,002851,麦格米特,trend_up,1.0,135.1,120.99,3,-11.07,200000.0,-22138.0,stop_loss
2026-01-27,2026-02-09,000761,本钢板材,trend_up,1.0,3.67,3.77,10,2.01,200000.0,4016.0,expiry
2026-02-10,2026-02-12,603578,三星新材,trend_up,1.0,16.01,14.26,3,-11.55,200000.0,-23104.0,stop_loss
2026-02-03,2026-02-24,000592,平潭发展,trend_up,1.0,10.11,10.93,10,7.36,200000.0,14713.0,expiry
2026-02-03,2026-02-24,600519,贵州茅台,trend_up,1.0,1445.0,1466.8,10,0.8,200000.0,1601.0,expiry
2026-02-03,2026-02-24,601127,赛力斯,trend_up,1.0,105.02,108.04,10,2.16,200000.0,4316.0,expiry
2026-02-03,2026-02-24,600436,片仔癀,trend_up,1.0,160.4,166.33,10,2.97,200000.0,5947.0,expiry
2026-02-25,2026-03-03,603188,亚邦股份,trend_up,1.0,5.86,5.27,5,-10.7,200000.0,-21391.0,stop_loss
2026-03-04,2026-03-05,002843,泰嘉股份,high_vol,1.0,28.87,25.39,2,-12.67,200000.0,-25335.0,stop_loss
2026-02-13,2026-03-06,003035,南网能源,trend_up,1.0,6.7,8.71,10,29.09,200000.0,58186.0,expiry
2026-02-25,2026-03-10,600395,盘江股份,trend_up,1.0,5.88,5.96,10,0.65,200000.0,1307.0,expiry
2026-02-25,2026-03-10,603826,坤彩科技,trend_up,1.0,18.84,23.98,10,26.39,200000.0,52789.0,expiry
2026-02-25,2026-03-10,603776,永安行,trend_up,1.0,18.71,20.3,10,7.74,200000.0,15483.0,expiry
2026-03-11,2026-03-18,600010,包钢股份,high_vol,1.0,3.0,2.75,6,-8.97,200000.0,-17946.0,stop_loss
2026-03-06,2026-03-19,603776,永安行,high_vol,1.0,19.41,19.47,10,-0.39,200000.0,-781.0,expiry
