,hist_vol_20,hist_vol_60,hist_vol_ratio,atr_pct_14,boll_width_20,boll_pctb_20,turn_chg_5,turn_zscore_20,turn_ma_ratio,turn_rank_60,mfi_14,obv,obv_ma_ratio,cmf_20,main_flow_ratio,rsi_14_imp,macd_hist_slope,kdj_k,kdj_d,kdj_j,bias_60,breakout,pullback,regime
hist_vol_20,1.0,0.7694217619765058,0.5743945515910389,0.8866768285502465,0.7536347208367826,0.09097345469898034,,,,,0.1294748974176838,0.03543329108706311,0.0004373515393203298,0.08014654271745225,0.01010032591414295,0.18565533279530422,0.04236870244438963,0.025338451721046637,0.05441106747325855,0.012433468705792844,0.39570483063917167,0.0009134798533863075,0.011918300019214631,0.039880029784051765
hist_vol_60,0.7694217619765058,1.0,0.027424068599025627,0.7408800859295908,0.5798311300206278,0.003600163159121976,,,,,0.042784432772468454,0.03105771214307509,8.366515393252003e-06,0.022960019029023466,0.0383199285603085,0.0533790914299961,0.00945478524568009,0.03923313091554713,0.03427474227635067,0.03725351091310731,0.22720843380763875,0.007642793211557299,0.007983944792647479,0.04903085804640904
hist_vol_ratio,0.5743945515910389,0.027424068599025627,1.0,0.4374266065576867,0.4148054959250513,0.1375797217255281,,,,,0.14726474351675461,0.01977181228590539,0.0005628457789900179,0.13606316435702445,0.02646103920607063,0.21512477393505974,0.04287834369175955,0.080506197751173,0.11606834586232453,0.024729352938964826,0.28815985451076154,0.011891838299889684,0.008611587136603035,0.016007481068599172
atr_pct_14,0.8866768285502465,0.7408800859295908,0.4374266065576867,1.0,0.7446612760327194,0.016041768030520643,,,,,0.07900669486293042,0.031130344300966062,0.0005032577727839208,0.01769885236718124,0.11655986374000103,0.08640355031993344,0.10416950154121446,0.0959171093103344,0.03511349383497967,0.14612149646457961,0.321927819673602,0.005807632851806657,0.011609627189317982,0.11645220831403598
boll_width_20,0.7536347208367826,0.5798311300206278,0.4148054959250513,0.7446612760327194,1.0,0.09546028041481953,,,,,0.09990691222130975,0.038573858028190806,0.0005511854381096582,0.10478914042020963,0.015549324395805583,0.18075822422254473,0.04935202126756078,0.049062052684055585,0.07792503486243287,0.006939989774678002,0.43132035594886253,0.0005353761880123663,0.006287593983066285,0.04812299637184794
boll_pctb_20,0.09097345469898034,0.003600163159121976,0.1375797217255281,0.016041768030520643,0.09546028041481953,1.0,,,,,0.7312590534253114,0.031242153609547053,0.0008815260114937619,0.5501354651953831,0.5673846854143859,0.8972686793266417,0.16850508564229794,0.8412403727699678,0.7750342042147701,0.7534383550543516,0.581972556431649,0.03037500290041516,0.006133298150962352,0.3985899746308067
turn_chg_5,,,,,,,,,,,,,,,,,,,,,,,,
turn_zscore_20,,,,,,,,,,,,,,,,,,,,,,,,
turn_ma_ratio,,,,,,,,,,,,,,,,,,,,,,,,
turn_rank_60,,,,,,,,,,,,,,,,,,,,,,,,
mfi_14,0.1294748974176838,0.042784432772468454,0.14726474351675461,0.07900669486293042,0.09990691222130975,0.7312590534253114,,,,,1.0,0.039997481434419425,0.0015336254534237235,0.5339586615519288,0.32861488865189775,0.7590045211650033,0.003852818271711273,0.665986901725634,0.7471374837410257,0.44545500697798784,0.5388011472309273,0.018246510585789633,0.005975696514733365,0.3436616813266909
obv,0.03543329108706311,0.03105771214307509,0.01977181228590539,0.031130344300966062,0.038573858028190806,0.031242153609547053,,,,,0.039997481434419425,1.0,0.0003375586742897804,0.028919558716470766,0.013998267005794542,0.05010712595121677,1.700923918427831e-05,0.02528704845575074,0.02905560301311543,0.016136449184655427,0.06930356151073985,0.0017541817970253301,0.00515385351397771,0.06553058210942098
obv_ma_ratio,0.0004373515393203298,8.366515393252003e-06,0.0005628457789900179,0.0005032577727839208,0.0005511854381096582,0.0008815260114937619,,,,,0.0015336254534237235,0.0003375586742897804,1.0,0.0012433670130556833,5.367033077150495e-05,0.0006732795891362474,0.00013532545181851278,0.00083489095509303,0.0011154025129290212,0.0003562818279055698,0.0005129722651552424,2.4852560616362413e-05,1.165194498657118e-05,0.00032013169103796196
cmf_20,0.08014654271745225,0.022960019029023466,0.13606316435702445,0.01769885236718124,0.10478914042020963,0.5501354651953831,,,,,0.5339586615519288,0.028919558716470766,0.0012433670130556833,1.0,0.5047732312067714,0.6202256504851661,0.006770360099342374,0.5358951894374122,0.588065702048897,0.373285576339093,0.49773717172213716,0.017653314300432557,0.005032458353401659,0.3333440739408548
main_flow_ratio,0.01010032591414295,0.0383199285603085,0.02646103920607063,0.11655986374000103,0.015549324395805583,0.5673846854143859,,,,,0.32861488865189775,0.013998267005794542,5.367033077150495e-05,0.5047732312067714,1.0,0.5012355913261891,0.22908651204057262,0.6057859306120775,0.41418136516973164,0.7052995519167111,0.29072468098049764,0.022088082236255656,0.0024690355522305383,0.20889186889535238
rsi_14_imp,0.18565533279530422,0.0533790914299961,0.21512477393505974,0.08640355031993344,0.18075822422254473,0.8972686793266417,,,,,0.7590045211650033,0.05010712595121677,0.0006732795891362474,0.6202256504851661,0.5012355913261891,1.0,0.10878806363137196,0.7825439735773354,0.772914863995733,0.6421195838154102,0.7921578772584528,0.028868865647709536,0.007131879332354158,0.4441170215601896
macd_hist_slope,0.04236870244438963,0.00945478524568009,0.04287834369175955,0.10416950154121446,0.04935202126756078,0.16850508564229794,,,,,0.003852818271711273,1.700923918427831e-05,0.00013532545181851278,0.006770360099342374,0.22908651204057262,0.10878806363137196,1.0,0.10792266541283639,0.03897705394824279,0.2531548046042526,0.016337288190703177,0.013884027516959009,0.007440384199254533,0.0024086674308379636
kdj_k,0.025338451721046637,0.03923313091554713,0.080506197751173,0.0959171093103344,0.049062052684055585,0.8412403727699678,,,,,0.665986901725634,0.02528704845575074,0.00083489095509303,0.5358951894374122,0.6057859306120775,0.7825439735773354,0.10792266541283639,1.0,0.9202645851241497,0.8967979138210896,0.4939915052137111,0.018398937783911065,0.0035607038692241472,0.31876568014468165
kdj_d,0.05441106747325855,0.03427474227635067,0.11606834586232453,0.03511349383497967,0.07792503486243287,0.7750342042147701,,,,,0.7471374837410257,0.02905560301311543,0.0011154025129290212,0.588065702048897,0.41418136516973164,0.772914863995733,0.03897705394824279,0.9202645851241497,1.0,0.6521659021461511,0.5409986382371119,0.014019539092771453,0.008539402723774316,0.3469883696845521
kdj_j,0.012433468705792844,0.03725351091310731,0.024729352938964826,0.14612149646457961,0.006939989774678002,0.7534383550543516,,,,,0.44545500697798784,0.016136449184655427,0.0003562818279055698,0.373285576339093,0.7052995519167111,0.6421195838154102,0.2531548046042526,0.8967979138210896,0.6521659021461511,1.0,0.34532260337580234,0.019793134341576833,0.0027572213903759545,0.22521792819805683
bias_60,0.39570483063917167,0.22720843380763875,0.28815985451076154,0.321927819673602,0.43132035594886253,0.581972556431649,,,,,0.5388011472309273,0.06930356151073985,0.0005129722651552424,0.49773717172213716,0.29072468098049764,0.7921578772584528,0.016337288190703177,0.4939915052137111,0.5409986382371119,0.34532260337580234,1.0,0.013408323607984392,0.011707145609012757,0.35865691612711853
breakout,0.0009134798533863075,0.007642793211557299,0.011891838299889684,0.005807632851806657,0.0005353761880123663,0.03037500290041516,,,,,0.018246510585789633,0.0017541817970253301,2.4852560616362413e-05,0.017653314300432557,0.022088082236255656,0.028868865647709536,0.013884027516959009,0.018398937783911065,0.014019539092771453,0.019793134341576833,0.013408323607984392,1.0,0.00020334419417896414,0.010815582970096585
pullback,0.011918300019214631,0.007983944792647479,0.008611587136603035,0.011609627189317982,0.006287593983066285,0.006133298150962352,,,,,0.005975696514733365,0.00515385351397771,1.165194498657118e-05,0.005032458353401659,0.0024690355522305383,0.007131879332354158,0.007440384199254533,0.0035607038692241472,0.008539402723774316,0.0027572213903759545,0.011707145609012757,0.00020334419417896414,1.0,0.00969047788346863
regime,0.039880029784051765,0.04903085804640904,0.016007481068599172,0.11645220831403598,0.04812299637184794,0.3985899746308067,,,,,0.3436616813266909,0.06553058210942098,0.00032013169103796196,0.3333440739408548,0.20889186889535238,0.4441170215601896,0.0024086674308379636,0.31876568014468165,0.3469883696845521,0.22521792819805683,0.35865691612711853,0.010815582970096585,0.00969047788346863,1.0
